Firm,Day,LNP FP,LNP FP adj
Newspoll,1,36.0,37.726
SMS Morgan,45,40.0,38.173
SMS Morgan,73,35.5,33.673
Newspoll,93,33.0,34.726
SMS Morgan,101,38.5,36.673
SMS Morgan,156,39.5,37.673
Newspoll,185,33.0,34.726
SMS Morgan,185,38.0,36.173
SMS Morgan,213,38.0,36.173
SMS Morgan,241,40.0,38.173
Newspoll,274,33.0,34.726
SMS Morgan,282,41.5,39.673
SMS Morgan,310,43.0,41.173
SMS Morgan,352,39.5,37.673
SMS Morgan,381,39.5,37.673
SMS Morgan,424,41.5,39.673
Essential,458,32.0,33.859
Newspoll2,458,36.0,35.421
SMS Morgan,477,37.0,35.173
SMS Morgan,535,35.5,33.673
Galaxy,539,33.0,32.235
Essential,550,29.0,30.859
SMS Morgan,591,30.0,28.173
Essential,640,30.0,31.859
SMS Morgan,646,31.0,29.173
Essential,732,30.0,31.859
SMS Morgan,738,37.0,35.173
Galaxy,761,35.0,34.235
SMS Morgan,779,36.5,34.673
Essential,824,32.0,33.859
Essential,916,28.0,29.859
Essential,1005,31.0,32.859
Galaxy,1024,34.0,33.235
Essential,1097,30.0,31.48
Newspoll2,1189,29.0,29.399
Essential,1189,31.0,31.235
SMS Morgan,1247,32.0,31.474
ReachTEL,1264,33.4,33.092
Newspoll2,1294,32.0,32.399
Newspoll2,1308,34.0,34.399
ReachTEL,1309,34.0,33.692
