Firm,Day,ALP FP,ALP FP adj
Galaxy,1,36.0,36.797
Galaxy,43,30.0,30.797
Galaxy,86,35.0,35.797
Galaxy,166,34.0,34.797
Galaxy,239,31.0,31.797
Morgan Phone,273,34.5,34.516
Galaxy,352,32.0,32.797
Newspoll,423,29.0,29.859
Essential,470,29.0,29.342
Newspoll,515,26.0,26.859
Galaxy,525,28.0,28.797
Newspoll,607,38.0,38.859
Galaxy,610,35.0,35.797
Galaxy,645,36.0,36.797
Morgan Phone,661,29.0,29.016
Newspoll,697,31.0,31.859
Galaxy,701,30.0,30.797
Newspoll,788,27.0,27.817
Galaxy,798,28.0,28.796
Newspoll,880,31.0,31.627
Galaxy,883,28.0,28.793
Galaxy,951,32.0,32.793
Newspoll,972,30.0,30.611
Galaxy,972,30.0,30.793
Galaxy,1001,30.0,30.793
Morgan Phone,1007,28.0,28.127
Newspoll,1007,28.0,28.611
