Firm,Day,ONP FP,ONP FP adj
Newspoll2,37,3.0,2.854
Newspoll2,58,4.0,3.854
Newspoll2,78,5.0,4.854
Newspoll2,100,6.0,5.854
Newspoll2,121,6.0,5.854
Newspoll2,142,7.0,6.854
Newspoll2,155,5.0,4.854
Newspoll2,169,5.0,4.854
Newspoll2,204,4.0,3.854
Newspoll2,225,4.0,3.854
Essential,204,5.319,4.254
Essential,218,6.383,5.317
Essential,232,6.383,5.317
Essential,246,4.255,3.19
Newspoll2,246,4.0,3.854
Morgan multi-mode,258,4.0,3.698
Essential,261,5.376,4.311
Newspoll2,267,4.0,3.854
Essential,275,3.261,2.195
Essential,282,4.348,3.282
Newspoll2,287,5.0,4.854
Essential,289,3.297,2.231
Essential,296,5.319,4.254
Essential,303,5.376,4.311
Morgan multi-mode,307,3.0,2.698
Newspoll2,309,4.0,3.854
Essential,310,4.255,3.19
Essential,317,4.396,3.33
Essential,324,3.297,2.231
Newspoll2,330,3.0,2.854
Essential,331,3.297,2.231
Morgan multi-mode,335,3.5,3.198
Essential,338,5.376,4.311
Essential,345,5.319,4.254
Newspoll2,351,4.0,3.854
Essential,354,4.348,3.282
Essential,361,5.319,4.254
Morgan multi-mode,363,4.0,3.698
Essential,368,4.396,3.33
Newspoll2,371,3.0,2.854
Essential,375,4.396,3.33
Essential,387,4.396,3.33
Newspoll2,393,4.0,3.854
Morgan multi-mode,391,2.5,2.198
Essential,401,4.348,3.282
Newspoll2,414,4.0,3.854
Essential,415,4.444,3.379
Morgan multi-mode,419,3.0,2.698
Essential,429,4.301,3.235
Newspoll2,435,3.0,2.854
Essential,443,3.261,2.195
Newspoll2,456,3.0,2.854
Essential,457,4.396,3.33
Essential,471,5.376,4.311
Newspoll2,477,3.0,2.854
Essential,478,3.333,2.268
Essential,485,3.226,2.16
Morgan multi-mode,489,4.0,3.698
Newspoll2,505,3.0,2.854
Morgan multi-mode,517,4.0,3.698
Newspoll2,526,2.0,1.854
Essential,499,3.297,2.231
Essential,513,4.348,3.282
Essential,527,4.348,3.282
Essential,541,4.396,3.33
Essential,576,3.226,2.16
Newspoll2,589,3.0,2.854
Essential,590,3.261,2.195
Morgan multi-mode,601,3.5,3.198
Newspoll2,610,3.0,2.854
Newspoll2,631,3.0,2.854
Morgan multi-mode,629,2.5,2.198
Newspoll2,645,2.0,1.854
ResolvePM,667,6.0,5.465
Newspoll2,673,3.0,2.854
Newspoll2,695,2.0,1.854
ResolvePM,694,2.0,1.465
Newspoll2,715,3.0,2.854
Morgan multi-mode,713,3.0,2.698
ResolvePM,722,3.0,2.465
Morgan multi-mode,727,3.5,3.198
Newspoll2,736,3.0,2.854
Newspoll2,757,3.0,2.854
ResolvePM,756,4.0,3.465
Essential,603,4.301,3.235
Essential,617,4.348,3.282
Essential,631,3.261,2.195
Essential,645,3.226,2.16
Essential,659,3.226,2.16
Essential,673,4.301,3.235
Essential,687,3.297,2.231
Essential,701,3.297,2.231
Essential,715,4.301,3.235
Essential,729,4.301,3.235
Essential,743,4.396,3.33
Essential,757,4.301,3.235
Morgan multi-mode,755,3.0,2.698
Morgan multi-mode,769,3.0,2.698
Newspoll2,778,3.0,2.854
Morgan multi-mode,783,3.5,3.198
ResolvePM,791,2.0,1.465
Newspoll2,799,3.0,2.854
Morgan multi-mode,797,3.0,2.698
Morgan multi-mode,811,3.0,2.698
Newspoll2,820,3.0,2.854
ResolvePM,819,4.0,3.465
Morgan multi-mode,825,3.5,3.193
Newspoll2,834,2.0,1.841
Morgan multi-mode,839,3.0,2.677
Newspoll2,855,3.0,2.816
ResolvePM,856,3.0,2.59
Morgan multi-mode,853,3.5,3.161
Essential,771,4.348,3.282
Essential,785,3.297,2.231
Essential,799,4.255,3.19
Essential,813,4.348,3.282
Essential,827,3.261,2.221
Essential,841,4.444,3.464
Essential,855,3.191,2.27
Morgan multi-mode,867,3.0,2.645
Newspoll2,876,2.0,1.793
ResolvePM,884,3.0,2.693
Essential,869,3.333,2.471
Essential,883,4.255,3.452
Morgan multi-mode,881,3.5,3.129
