Firm,Day,OTH FP,OTH FP adj
Newspoll,1,17.0,13.885
Newspoll,62,16.0,12.885
Newspoll,123,15.0,11.885
Newspoll,185,17.0,13.885
F2F Morgan,199,8.0,9.371
F2F Morgan,228,10.0,11.371
Newspoll,245,17.0,13.885
Taverner,253,10.0,10.285
F2F Morgan,259,8.5,9.871
F2F Morgan,289,10.5,11.871
Newspoll,306,15.0,11.885
F2F Morgan,320,10.0,11.371
F2F Morgan,350,8.0,9.371
Newspoll,367,16.0,12.885
F2F Morgan,381,10.0,11.371
F2F Morgan,412,10.0,11.371
Newspoll,428,13.0,9.885
F2F Morgan,442,7.5,8.871
F2F Morgan,473,8.5,9.871
Newspoll,489,11.0,7.885
F2F Morgan,503,10.5,11.871
F2F Morgan,534,9.5,10.871
Newspoll,551,13.0,9.885
F2F Morgan,565,8.5,9.871
F2F Morgan,593,8.0,9.371
Newspoll,610,13.0,9.885
F2F Morgan,624,10.0,11.371
F2F Morgan,654,9.5,10.871
Newspoll,671,14.0,10.885
F2F Morgan,685,10.0,11.371
F2F Morgan,715,12.0,13.371
Newspoll,732,13.0,9.885
F2F Morgan,746,9.0,10.371
F2F Morgan,777,11.5,12.871
Newspoll,793,16.0,12.885
F2F Morgan,807,11.0,12.371
F2F Morgan,838,12.5,13.871
Newspoll,854,16.0,12.885
F2F Morgan,868,11.0,12.371
F2F Morgan,900,11.0,12.371
Newspoll,916,17.0,13.885
F2F Morgan,930,13.0,14.371
F2F Morgan,958,8.5,9.871
Newspoll,975,14.0,10.885
F2F Morgan,989,11.5,12.871
F2F Morgan,1019,12.0,13.371
Newspoll,1036,16.0,12.885
F2F Morgan,1050,11.5,12.871
F2F Morgan,1080,10.0,11.371
Nielsen,1097,9.0,9.622
Newspoll,1097,17.0,13.92
F2F Morgan,1111,10.5,11.951
Galaxy,1128,9.981,10.097
F2F Morgan,1142,11.0,12.56
Newspoll,1158,15.0,12.187
F2F Morgan,1172,11.5,13.169
F2F Morgan,1203,10.0,11.785
Galaxy,1189,14.517,14.588
Nielsen,1206,12.0,12.484
Newspoll,1219,17.0,14.418
F2F Morgan,1233,9.0,10.807
F2F Morgan,1264,8.5,10.307
Newspoll,1281,15.0,12.418
Taverner,1281,14.0,13.944
Nielsen,1304,8.994,9.473
Newspoll,1319,12.914,10.332
Nielsen,1329,12.0,12.479
Galaxy,1329,12.0,12.057
Newspoll,1330,14.817,12.235
