Firm,Day,GRN FP,GRN FP adj
F2F Morgan,1,12.0,12.6
F2F Morgan,32,8.5,9.1
Newspoll,49,8.0,9.53
F2F Morgan,63,9.0,9.6
F2F Morgan,91,7.5,8.1
Newspoll,108,7.0,8.53
F2F Morgan,122,7.0,7.6
F2F Morgan,152,7.0,7.6
Newspoll,169,8.0,9.53
F2F Morgan,183,8.0,8.6
F2F Morgan,213,6.0,6.6
Newspoll,230,8.0,9.53
F2F Morgan,244,7.5,8.1
F2F Morgan,275,7.5,8.1
Newspoll,291,7.0,8.53
F2F Morgan,305,7.0,7.6
F2F Morgan,336,8.5,9.1
Nielsen,347,9.0,7.531
Newspoll,352,7.0,8.53
F2F Morgan,366,6.5,7.1
F2F Morgan,397,9.0,9.6
Newspoll,414,7.0,8.53
F2F Morgan,428,6.5,7.1
F2F Morgan,457,7.5,8.1
Newspoll,474,6.0,7.53
F2F Morgan,488,7.0,7.6
F2F Morgan,518,7.5,8.1
Newspoll,535,6.0,7.53
F2F Morgan,549,7.5,8.1
Nielsen,550,10.0,8.531
F2F Morgan,579,6.5,7.1
Newspoll,596,7.0,8.53
F2F Morgan,610,9.0,9.6
F2F Morgan,641,10.5,11.1
Newspoll,657,9.0,10.53
F2F Morgan,671,7.5,8.1
F2F Morgan,702,9.5,10.1
Newspoll,718,6.0,7.53
F2F Morgan,732,9.0,9.6
F2F Morgan,763,7.0,7.6
Newspoll,780,7.0,8.53
F2F Morgan,794,7.5,8.1
F2F Morgan,822,8.0,8.6
Newspoll,839,6.0,7.53
F2F Morgan,853,8.5,9.1
F2F Morgan,883,7.0,7.6
Newspoll,900,9.0,10.53
F2F Morgan,914,9.5,10.1
F2F Morgan,944,6.5,7.1
Newspoll,961,6.0,7.53
F2F Morgan,975,7.0,7.6
F2F Morgan,1006,8.0,8.6
Newspoll,1022,6.0,7.53
F2F Morgan,1036,7.0,7.6
F2F Morgan,1067,8.5,9.1
Nielsen,1075,11.0,9.531
Newspoll,1083,7.0,8.53
F2F Morgan,1097,12.0,12.6
F2F Morgan,1128,7.5,8.1
Newspoll,1145,5.0,6.53
F2F Morgan,1159,7.5,8.1
F2F Morgan,1187,8.0,8.6
Newspoll,1204,7.0,8.534
F2F Morgan,1218,8.0,8.661
F2F Morgan,1236,9.5,10.223
F2F Morgan,1250,7.5,8.27
Nielsen,1256,11.0,9.437
Newspoll,1265,5.0,6.599
F2F Morgan,1279,7.0,7.873
F2F Morgan,1309,6.5,7.475
Newspoll,1326,6.0,7.655
F2F Morgan,1340,5.5,6.509
Nielsen,1344,11.0,9.329
Morgan Phone,1346,7.0,6.158
Morgan Phone,1377,8.0,7.158
Newspoll,1387,7.0,8.655
Galaxy,1407,7.0,7.275
Nielsen,1408,13.0,11.329
Morgan Phone,1411,12.0,11.158
Newspoll,1426,8.0,9.655
Nielsen,1435,12.0,10.329
Morgan Phone,1436,13.5,12.658
Morgan Phone,1439,12.5,11.658
Galaxy,1439,12.0,12.275
Newspoll,1440,9.0,10.655
Nielsen,1440,11.0,9.329
