Firm,Day,OTH FP,OTH FP adj
Morgan Phone,1,11.5,11.816
Newspoll,173,13.0,10.851
Newspoll,234,14.0,11.851
Newspoll,296,13.0,10.851
Morgan Phone,349,13.5,13.816
Newspoll,356,17.0,14.851
Morgan Phone,425,11.5,11.816
Morgan Phone,461,11.5,11.816
Newspoll,478,14.0,11.851
Morgan Phone,488,10.0,10.316
Galaxy,522,11.0,11.997
Newspoll,539,16.0,13.851
Essential,600,10.0,10.85
Newspoll,600,15.0,12.851
Newspoll,662,16.0,13.851
Essential,704,9.0,9.85
Nielsen,712,15.0,13.597
Newspoll,721,14.0,11.851
Newspoll,782,13.0,10.851
Newspoll,843,13.0,10.851
Newspoll,904,13.0,10.851
Essential,949,9.0,9.85
Essential,979,11.0,11.85
Essential,1010,10.0,10.85
Newspoll,1027,13.0,10.851
Essential,1041,9.0,9.85
Nielsen,1053,13.0,11.597
Essential,1069,10.0,10.85
Essential,1100,10.0,10.85
Essential,1130,10.0,10.85
Galaxy,1142,9.0,9.997
Newspoll,1147,13.0,10.851
Essential,1162,11.0,11.85
Essential,1192,10.0,10.85
Newspoll,1208,14.0,11.878
Essential,1223,12.0,12.7
Galaxy,1229,9.0,9.907
Essential,1254,13.0,13.45
SMS Morgan,1266,9.5,9.583
Newspoll,1269,12.0,10.708
Essential,1284,10.0,10.2
SMS Morgan,1294,9.5,9.54
Galaxy,1319,9.0,9.57
Ipsos,1319,9.0,9.614
SMS Morgan,1322,11.0,10.998
Newspoll,1330,12.0,11.458
Essential,1339,10.0,9.85
Galaxy,1368,9.0,9.548
SMS Morgan,1377,9.5,9.492
Galaxy,1382,8.0,8.548
Ipsos,1397,9.0,9.634
SMS Morgan,1406,11.5,11.492
Galaxy,1410,11.0,11.548
Newspoll,1416,10.0,9.458
ReachTEL,1417,10.4,10.265
ReachTEL,1425,11.0,10.865
Galaxy,1431,10.0,10.548
SMS Morgan,1433,8.5,8.492
Essential,1435,11.0,10.85
Lonergan,1438,10.0,9.928
Galaxy,1429,9.0,9.548
Ipsos,1439,8.0,8.634
Lonergan,1440,11.0,10.928
SMS Morgan,1441,13.0,12.992
Galaxy,1444,10.0,10.548
Newspoll,1444,11.0,10.458
ReachTEL,1445,10.3,10.165
SMS Morgan,1445,9.5,9.492
