Firm,Day,ALP FP,ALP FP adj
Newspoll,1,35.0,35.233
Newspoll,93,35.0,35.233
Newspoll,185,37.0,37.233
Newspoll,277,40.0,40.233
Newspoll,366,38.0,38.233
F2F Morgan,446,40.0,40.034
Newspoll,458,40.0,40.233
F2F Morgan,505,42.0,42.034
Newspoll,550,41.0,41.233
F2F Morgan,560,43.0,43.034
F2F Morgan,630,40.0,40.034
Newspoll,642,40.0,40.233
F2F Morgan,687,41.5,41.534
Newspoll,731,41.0,41.233
F2F Morgan,746,39.0,39.034
F2F Morgan,809,39.5,39.534
Newspoll,823,41.0,41.233
F2F Morgan,870,39.0,39.034
Newspoll,915,43.0,43.233
F2F Morgan,931,44.0,44.034
F2F Morgan,993,44.0,44.034
Westpoll,997,52.0,48.521
Newspoll,1007,43.0,43.233
Westpoll,1026,48.0,44.521
F2F Morgan,1053,41.5,41.534
Westpoll,1057,47.0,43.521
Westpoll,1091,43.0,39.521
Newspoll,1097,40.0,40.233
F2F Morgan,1114,44.0,44.034
Westpoll,1120,52.0,48.521
Westpoll,1148,44.0,40.681
F2F Morgan,1175,41.5,41.537
Newspoll,1189,43.0,43.198
F2F Morgan,1236,39.0,39.041
Westpoll,1240,47.0,44.353
Westpoll,1274,48.0,45.396
Newspoll,1281,41.0,41.168
F2F Morgan,1297,44.0,44.041
Westpoll,1343,40.476,37.872
Westpoll,1359,45.977,43.373
Newspoll,1366,39.0,39.168
