Firm,Day,LIB FP,LIB FP adj
Newspoll,1,41.0,41.413
Newspoll,92,48.0,48.413
Newspoll,184,45.0,45.413
Newspoll,245,53.0,53.413
Newspoll,307,54.0,54.413
Newspoll,396,48.0,48.413
Newspoll,488,50.0,50.413
Newspoll,580,49.0,49.413
Newspoll,672,44.0,44.413
Newspoll,761,46.0,46.413
Newspoll,853,45.0,45.413
Newspoll,945,40.0,40.413
Newspoll,1037,46.0,46.413
Westpoll,1105,51.685,51.511
Newspoll,1127,48.0,48.397
Newspoll,1219,49.0,49.35
Newspoll,1311,52.0,52.35
Newspoll,1338,44.0,44.35
