Firm,Day,LNP FP,LNP FP adj
Galaxy,1,54.0,53.804
Morgan Phone,19,54.5,53.308
ReachTEL,42,56.5,56.83
Morgan Phone,55,54.5,53.308
Morgan Phone,82,51.0,49.808
Newspoll,86,48.0,49.047
ReachTEL,85,44.2,44.53
Galaxy,95,48.0,47.804
ReachTEL,116,44.7,45.03
ReachTEL,146,44.6,44.93
Newspoll,178,42.0,43.047
ReachTEL,186,42.0,42.33
Galaxy,186,44.0,43.804
Essential,194,41.0,41.603
ReachTEL,207,41.9,42.23
ReachTEL,242,42.5,42.83
Newspoll,270,49.0,50.047
ReachTEL,277,47.1,47.43
Galaxy,277,43.0,42.804
Essential,298,45.0,45.603
ReachTEL,305,47.8,48.13
ReachTEL,333,45.1,45.43
Newspoll,359,44.0,45.047
Galaxy,366,44.0,43.804
ReachTEL,366,44.6,44.93
ReachTEL,415,43.3,43.63
Galaxy,445,47.0,46.804
Galaxy,542,45.0,44.804
Newspoll,543,40.0,41.047
Essential,543,46.0,46.603
Essential,573,44.0,44.603
Essential,604,40.0,40.603
Galaxy,629,41.0,40.804
Newspoll,635,40.0,41.047
Essential,635,39.0,39.603
Essential,663,41.0,41.603
ReachTEL,681,39.1,39.43
Essential,694,36.0,36.603
Newspoll,724,32.0,33.047
Essential,724,41.0,41.603
Galaxy,732,43.0,42.804
ReachTEL,745,40.9,41.224
Essential,756,37.0,37.601
ReachTEL,773,38.7,38.943
Essential,786,38.0,38.597
ReachTEL,792,37.6,37.79
ReachTEL,808,34.4,34.544
Galaxy,814,39.0,39.019
Newspoll,816,39.0,39.602
Essential,817,39.0,39.592
ReachTEL,836,41.2,41.262
Essential,848,38.0,38.588
SMS Morgan,860,42.0,42.239
ReachTEL,872,40.9,40.881
Essential,878,39.0,39.585
SMS Morgan,888,38.0,38.24
Newspoll,908,37.0,37.306
Galaxy,912,37.0,37.173
SMS Morgan,916,36.5,36.74
ReachTEL,921,39.2,39.181
Essential,930,38.0,38.585
ReachTEL,960,40.3,40.281
Newspoll,962,42.0,42.306
Galaxy,962,41.0,41.173
SMS Morgan,971,39.5,39.74
Essential,972,39.0,39.585
ReachTEL,974,42.0,41.981
Newspoll,982,41.0,41.306
Galaxy,982,41.0,41.173
ReachTEL,983,41.5,41.481
