Firm,Day,ALP FP,ALP FP adj
F2F Morgan,1,56.0,51.74
F2F Morgan,62,55.5,51.24
F2F Morgan,123,51.5,47.24
Newspoll,137,51.0,52.17
F2F Morgan,184,54.0,49.74
Newspoll,229,48.0,49.17
F2F Morgan,245,51.0,46.74
F2F Morgan,307,52.5,48.24
Newspoll,321,45.0,46.17
F2F Morgan,366,54.5,50.24
Newspoll,410,47.0,48.17
F2F Morgan,427,55.5,51.24
F2F Morgan,488,57.5,53.24
Newspoll,502,47.0,48.17
F2F Morgan,549,53.5,49.24
Newspoll,594,49.0,50.17
F2F Morgan,610,51.0,46.74
F2F Morgan,672,53.0,48.74
Newspoll,686,53.0,54.17
F2F Morgan,731,57.0,52.74
Newspoll,775,45.0,46.17
F2F Morgan,792,56.0,51.74
F2F Morgan,853,53.0,49.195
Newspoll,867,45.0,45.902
F2F Morgan,914,53.5,50.22
F2F Morgan,956,53.2,49.99
Newspoll,959,46.0,46.683
F2F Morgan,1020,51.5,48.29
TNS,1020,45.783,46.034
Newspoll,1027,50.0,50.683
TNS,1028,48.837,49.088
Newspoll,1041,50.0,50.683
