Firm,Day,OTH FP,OTH FP adj
Newspoll,1,13.901,15.975
Newspoll,93,14.895,16.969
Newspoll,185,10.954,13.028
Newspoll,277,13.18,15.255
Newspoll,366,16.514,18.588
F2F Morgan,446,18.5,16.852
Newspoll,458,16.395,18.469
F2F Morgan,505,12.5,10.852
Newspoll,550,8.887,10.961
F2F Morgan,560,13.0,11.352
F2F Morgan,630,13.0,11.352
Newspoll,642,5.988,8.062
F2F Morgan,687,11.5,9.852
Newspoll,731,7.676,9.75
F2F Morgan,746,14.5,12.852
F2F Morgan,809,14.5,12.852
Newspoll,823,11.459,13.533
F2F Morgan,870,18.0,16.352
Newspoll,915,11.0,13.074
F2F Morgan,931,13.5,11.852
F2F Morgan,993,16.5,14.852
Westpoll,997,8.0,12.091
Newspoll,1007,9.0,11.074
Westpoll,1026,8.0,12.091
F2F Morgan,1053,15.0,13.352
Westpoll,1057,8.0,12.091
Westpoll,1091,10.0,14.091
Newspoll,1097,13.0,15.074
F2F Morgan,1114,15.5,13.852
Westpoll,1120,6.0,10.091
Westpoll,1148,11.0,14.968
F2F Morgan,1175,15.5,14.281
Newspoll,1189,12.0,13.383
F2F Morgan,1236,16.0,15.297
Westpoll,1240,9.0,12.451
Westpoll,1274,12.0,15.417
Newspoll,1281,12.0,12.778
F2F Morgan,1297,15.0,14.383
Westpoll,1343,10.714,14.132
Westpoll,1359,9.195,12.613
Newspoll,1366,18.0,18.778
