Firm,Day,ALP FP,ALP FP adj
F2F Morgan,1,37.5,35.148
F2F Morgan,23,39.5,37.148
F2F Morgan,36,39.0,36.648
Newspoll,39,38.0,37.302
F2F Morgan,50,36.0,33.648
Newspoll,53,33.0,32.302
F2F Morgan,64,36.5,34.148
Newspoll,67,39.0,38.302
F2F Morgan,92,37.0,34.648
Nielsen,102,34.0,33.523
Newspoll,102,37.0,36.302
F2F Morgan,106,38.0,35.648
Newspoll,116,37.0,36.302
F2F Morgan,120,37.5,35.148
Nielsen,123,36.0,35.523
Newspoll,130,38.0,37.302
F2F Morgan,134,38.5,36.148
Newspoll,144,37.0,36.302
F2F Morgan,145,43.0,40.648
Nielsen,151,39.0,38.523
F2F Morgan,152,37.0,34.648
Newspoll,158,36.0,35.302
F2F Morgan,162,39.0,36.648
Newspoll,172,41.0,40.302
F2F Morgan,176,43.0,40.648
Nielsen,179,39.0,38.523
Newspoll,186,39.0,38.302
F2F Morgan,190,40.0,37.648
Newspoll,200,38.0,37.302
F2F Morgan,204,42.5,40.148
Nielsen,207,39.0,38.523
Newspoll,214,40.0,39.302
F2F Morgan,215,41.0,38.648
F2F Morgan,225,39.0,36.648
Newspoll,228,37.0,36.302
Nielsen,235,38.0,37.523
F2F Morgan,239,39.5,37.148
Newspoll,249,37.0,36.302
F2F Morgan,253,39.5,37.148
Nielsen,263,41.0,40.523
Newspoll,263,39.0,38.302
F2F Morgan,267,40.5,38.148
Newspoll,277,39.0,38.302
Nielsen,291,38.0,37.523
Newspoll,291,41.0,40.302
F2F Morgan,295,42.0,39.648
Newspoll,305,37.0,36.302
F2F Morgan,309,41.5,39.148
Nielsen,319,36.0,35.523
Newspoll,319,40.0,39.302
F2F Morgan,323,37.0,34.648
Newspoll,333,39.0,38.302
F2F Morgan,334,41.5,39.148
F2F Morgan,341,34.5,32.148
Nielsen,347,35.0,34.523
Newspoll,347,34.0,33.302
F2F Morgan,351,38.5,36.148
Newspoll,361,37.0,36.302
F2F Morgan,365,41.5,39.148
Nielsen,375,36.0,35.523
Newspoll,375,40.0,39.302
F2F Morgan,379,41.0,38.648
Newspoll,389,39.0,38.302
F2F Morgan,390,43.0,40.648
F2F Morgan,396,38.0,35.648
Nielsen,403,43.0,42.523
Newspoll,403,42.0,41.302
F2F Morgan,407,45.5,43.148
Newspoll,417,42.0,41.302
F2F Morgan,421,42.0,39.648
Nielsen,431,39.0,38.523
Newspoll,431,39.0,38.302
F2F Morgan,432,39.5,37.148
F2F Morgan,456,43.0,40.648
Newspoll,459,37.0,36.302
F2F Morgan,470,38.0,35.648
Nielsen,473,36.0,35.523
Newspoll,473,36.0,35.302
F2F Morgan,481,42.0,39.648
Newspoll,487,39.0,38.302
F2F Morgan,491,40.5,38.148
Nielsen,501,40.0,39.523
Newspoll,501,39.0,38.302
F2F Morgan,505,39.5,37.148
Newspoll,515,35.0,34.302
F2F Morgan,519,38.5,36.148
Nielsen,529,37.0,36.523
Newspoll,529,42.0,41.302
F2F Morgan,533,43.5,41.148
Newspoll,543,39.0,38.302
F2F Morgan,547,42.0,39.648
Nielsen,557,38.0,37.523
F2F Morgan,561,39.0,36.648
Newspoll,564,37.0,36.302
F2F Morgan,572,42.0,39.648
Newspoll,578,39.0,38.302
F2F Morgan,579,40.5,38.148
Nielsen,584,40.0,39.523
F2F Morgan,589,41.0,38.648
Newspoll,592,39.0,38.302
F2F Morgan,603,42.0,39.648
Nielsen,612,36.0,35.523
Newspoll,613,38.0,37.302
F2F Morgan,617,40.5,38.148
Newspoll,627,41.0,40.302
F2F Morgan,631,42.5,40.148
Nielsen,640,41.0,40.523
Newspoll,641,42.0,41.302
F2F Morgan,642,36.5,34.148
F2F Morgan,652,42.0,39.648
Newspoll,655,40.0,39.302
Newspoll,662,41.0,40.302
F2F Morgan,666,41.5,39.148
Nielsen,668,41.0,40.523
Newspoll,669,37.0,36.302
F2F Morgan,680,42.5,40.148
Newspoll,683,42.0,41.302
F2F Morgan,694,43.0,40.648
Nielsen,696,39.0,38.523
Newspoll,697,41.0,40.302
F2F Morgan,708,41.5,39.148
Newspoll,711,42.0,41.302
F2F Morgan,722,42.0,39.648
Nielsen,724,42.0,41.523
Newspoll,732,41.0,40.302
F2F Morgan,736,41.5,39.148
Newspoll,746,41.0,40.302
F2F Morgan,750,40.5,38.148
Nielsen,752,40.0,39.523
Newspoll,760,37.0,36.302
F2F Morgan,764,40.5,38.148
Newspoll,774,39.0,38.302
F2F Morgan,778,41.0,38.648
Nielsen,780,41.0,40.523
Newspoll,787,44.0,43.302
F2F Morgan,789,50.0,47.648
F2F Morgan,796,49.0,46.648
F2F Morgan,820,47.0,44.648
Newspoll,830,44.0,43.302
F2F Morgan,834,43.5,41.148
Newspoll,844,47.0,46.302
F2F Morgan,845,47.0,44.648
Nielsen,850,46.0,45.523
F2F Morgan,855,48.0,45.648
Newspoll,858,46.0,45.302
F2F Morgan,866,52.5,50.148
Newspoll,872,47.0,46.302
F2F Morgan,873,51.5,49.148
Nielsen,878,50.0,49.523
F2F Morgan,880,51.5,49.148
Newspoll,886,52.0,51.302
F2F Morgan,887,48.5,46.148
F2F Morgan,897,49.5,47.148
Newspoll,900,49.0,48.298
F2F Morgan,911,50.0,47.611
Newspoll,914,50.0,49.264
Galaxy,921,49.0,49.092
Nielsen,920,50.0,49.439
F2F Morgan,925,52.5,50.073
Newspoll,928,48.0,47.231
F2F Morgan,936,51.5,49.046
Newspoll,942,50.0,49.198
Galaxy,942,49.0,49.242
F2F Morgan,943,51.0,48.525
Nielsen,948,48.0,47.332
Newspoll,949,49.0,48.179
F2F Morgan,950,51.0,48.509
Newspoll,953,47.0,46.17
Newspoll,956,52.0,51.165
F2F Morgan,957,49.0,46.488
Galaxy,963,44.0,44.407
F2F Morgan,964,51.0,48.472
F2F Morgan,974,48.0,45.445
Nielsen,976,48.0,47.224
Newspoll,977,46.0,45.113
F2F Morgan,988,50.5,47.907
Galaxy,991,46.0,46.616
Newspoll,998,48.0,47.066
F2F Morgan,1002,47.5,44.87
Morgan Phone,1003,47.5,47.462
Nielsen,1004,49.0,48.117
Newspoll,1012,47.0,46.033
F2F Morgan,1016,47.0,44.333
Galaxy,1019,44.0,44.811
Newspoll,1026,48.0,47.019
F2F Morgan,1030,49.5,46.827
Nielsen,1032,46.0,45.063
Newspoll,1040,46.0,45.019
F2F Morgan,1044,46.0,43.327
Galaxy,1047,47.0,47.811
Newspoll,1054,51.0,50.019
F2F Morgan,1055,49.0,46.327
Nielsen,1060,49.0,48.063
F2F Morgan,1062,51.0,48.327
Newspoll,1068,47.0,46.019
F2F Morgan,1069,49.5,46.827
Galaxy,1075,46.0,46.811
F2F Morgan,1076,54.0,51.327
Newspoll,1082,48.0,47.019
F2F Morgan,1083,53.5,50.827
Nielsen,1088,47.0,46.063
F2F Morgan,1090,49.5,46.827
Morgan Phone,1091,50.0,49.979
Newspoll,1096,48.0,47.019
F2F Morgan,1097,49.5,46.827
Galaxy,1099,45.0,45.811
Nielsen,1099,48.0,47.063
Morgan Phone,1101,45.0,44.979
Newspoll,1103,51.0,50.019
F2F Morgan,1104,47.0,44.327
Morgan Phone,1108,44.0,43.979
Newspoll,1110,48.0,47.019
F2F Morgan,1111,49.0,46.327
Nielsen,1113,48.0,47.063
Galaxy,1117,45.0,45.811
Newspoll,1117,47.0,46.019
F2F Morgan,1118,54.5,51.827
Morgan Phone,1122,44.5,44.479
Newspoll,1124,48.0,47.019
F2F Morgan,1125,48.0,45.327
Nielsen,1127,47.0,46.063
Morgan Phone,1130,46.5,46.479
Newspoll,1131,46.0,45.019
F2F Morgan,1132,47.5,44.827
Galaxy,1134,42.5,43.311
Nielsen,1134,48.0,47.063
Newspoll,1135,44.0,43.019
Morgan Phone,1136,44.5,44.479
Morgan Phone,1137,43.5,43.479
