Firm,Day,DEM FP,DEM FP adj
F2F Morgan,1,13.0,12.524
Newspoll,8,13.0,11.108
F2F Morgan,15,12.0,11.524
F2F Morgan,29,11.5,11.024
Newspoll,39,12.0,10.108
F2F Morgan,43,10.0,9.524
F2F Morgan,57,11.0,10.524
Newspoll,67,12.0,10.108
F2F Morgan,71,11.5,11.024
F2F Morgan,85,12.0,11.524
F2F Morgan,99,11.0,10.524
Newspoll,102,12.0,10.108
F2F Morgan,113,11.0,10.524
F2F Morgan,127,11.0,10.524
Newspoll,137,10.0,8.108
F2F Morgan,141,11.0,10.524
F2F Morgan,155,10.0,9.524
Newspoll,165,11.0,9.108
F2F Morgan,169,12.0,11.524
F2F Morgan,183,11.0,10.524
Newspoll,197,11.0,9.108
F2F Morgan,197,10.0,9.524
F2F Morgan,211,10.0,9.524
F2F Morgan,225,9.0,8.524
Newspoll,228,10.0,8.108
F2F Morgan,239,9.0,8.524
Newspoll,246,12.0,10.108
F2F Morgan,253,9.0,8.524
F2F Morgan,281,9.0,8.524
F2F Morgan,295,9.0,8.524
F2F Morgan,309,7.0,6.524
Newspoll,316,10.0,8.108
F2F Morgan,323,8.0,7.524
F2F Morgan,337,8.0,7.524
Newspoll,340,9.0,7.108
F2F Morgan,351,8.0,7.524
F2F Morgan,365,8.0,7.524
Newspoll,375,11.0,9.108
F2F Morgan,379,9.0,8.524
F2F Morgan,393,8.0,7.524
Newspoll,403,9.0,7.108
F2F Morgan,407,8.0,7.524
F2F Morgan,418,8.0,7.524
F2F Morgan,425,7.0,6.524
F2F Morgan,435,7.0,6.524
Newspoll,445,9.0,7.108
F2F Morgan,449,7.0,6.524
F2F Morgan,463,8.0,7.524
Newspoll,473,9.0,7.108
F2F Morgan,477,7.0,6.524
F2F Morgan,491,6.5,6.024
Newspoll,501,9.0,7.108
F2F Morgan,505,6.0,5.524
F2F Morgan,519,6.0,5.524
Newspoll,533,8.0,6.108
F2F Morgan,533,6.0,5.524
F2F Morgan,547,7.0,6.524
Newspoll,561,9.0,7.108
F2F Morgan,561,7.0,6.524
F2F Morgan,575,7.0,6.524
Newspoll,589,10.0,8.108
F2F Morgan,589,7.0,6.524
Newspoll,599,8.0,6.108
F2F Morgan,599,6.0,5.524
F2F Morgan,606,4.0,3.524
Newspoll,610,7.0,5.108
F2F Morgan,613,6.0,5.524
F2F Morgan,641,7.0,6.524
AGB McNair,643,6.0,6.45
F2F Morgan,652,6.0,5.524
Newspoll,655,7.0,5.108
AGB McNair,666,5.0,5.45
F2F Morgan,666,5.5,5.024
Newspoll,669,8.0,6.108
AGB McNair,680,5.0,5.45
F2F Morgan,680,5.0,4.524
Newspoll,683,6.0,4.108
F2F Morgan,690,5.5,5.024
AGB McNair,694,5.0,5.45
F2F Morgan,697,5.0,4.524
Newspoll,698,6.0,4.108
AGB McNair,708,5.0,5.45
F2F Morgan,708,5.5,5.024
Newspoll,711,8.0,6.108
AGB McNair,722,5.0,5.45
F2F Morgan,722,5.5,5.024
Newspoll,725,9.0,7.108
AGB McNair,736,4.0,4.45
F2F Morgan,736,6.0,5.524
Newspoll,739,7.0,5.108
AGB McNair,750,5.0,5.45
F2F Morgan,750,5.0,4.524
Newspoll,760,8.0,6.108
AGB McNair,764,5.0,5.45
F2F Morgan,764,6.5,6.024
Newspoll,774,8.0,6.108
AGB McNair,778,4.0,4.45
F2F Morgan,778,7.0,6.524
Newspoll,788,8.0,6.108
AGB McNair,792,5.0,5.45
F2F Morgan,792,6.5,6.024
Newspoll,802,7.0,5.108
AGB McNair,806,6.0,6.45
F2F Morgan,806,7.0,6.524
Newspoll,816,9.0,7.108
AGB McNair,820,6.0,6.45
F2F Morgan,820,6.0,5.524
Newspoll,830,7.0,5.108
AGB McNair,834,5.0,5.45
F2F Morgan,834,8.0,7.524
Newspoll,844,7.0,5.111
AGB McNair,848,6.0,6.452
F2F Morgan,848,6.0,5.522
Newspoll,858,7.0,5.115
AGB McNair,862,5.0,5.455
F2F Morgan,862,6.0,5.519
Newspoll,872,7.0,5.118
AGB McNair,876,4.0,4.457
F2F Morgan,876,5.5,5.017
Newspoll,886,7.0,5.122
AGB McNair,890,4.0,4.46
F2F Morgan,890,6.0,5.514
Newspoll,900,7.0,5.125
AGB McNair,904,4.0,4.463
F2F Morgan,904,4.0,3.512
AGB McNair,918,4.0,4.465
F2F Morgan,918,4.0,3.51
Newspoll,921,5.0,3.131
AGB McNair,932,3.0,3.468
F2F Morgan,932,5.0,4.507
Newspoll,935,6.0,4.135
AGB McNair,946,4.0,4.47
F2F Morgan,946,5.0,4.505
Newspoll,949,5.0,3.138
AGB McNair,960,3.0,3.472
F2F Morgan,960,5.0,4.503
Newspoll,963,6.0,4.139
AGB McNair,974,4.0,4.472
F2F Morgan,974,4.0,3.503
Newspoll,977,6.0,4.139
Newspoll,984,5.0,3.139
F2F Morgan,985,4.0,3.503
AGB McNair,991,3.0,3.472
Newspoll,992,5.0,3.139
F2F Morgan,995,2.5,2.003
AGB McNair,1002,3.0,3.472
F2F Morgan,1012,4.5,4.003
AGB McNair,1019,3.0,3.472
Newspoll,1026,6.0,4.139
F2F Morgan,1030,4.5,4.003
AGB McNair,1037,3.0,3.472
Newspoll,1040,7.0,5.139
F2F Morgan,1041,5.0,4.503
Saulwick,1044,5.0,4.32
AGB McNair,1047,4.0,4.472
F2F Morgan,1048,5.0,4.503
Newspoll,1047,7.5,5.639
AGB McNair,1054,5.0,5.472
Newspoll,1054,5.0,3.139
F2F Morgan,1055,5.0,4.503
AGB McNair,1061,3.0,3.472
Newspoll,1061,6.0,4.139
F2F Morgan,1062,4.0,3.503
AGB McNair,1068,3.0,3.472
Newspoll,1068,6.0,4.139
Morgan Phone,1068,4.5,3.845
Newspoll,1072,6.5,4.639
Newspoll,1073,6.0,4.139
AGB McNair,1073,3.0,3.472
Morgan Phone,1073,4.5,3.845
