Firm,Day,GRN FP,GRN FP adj
F2F Morgan,320,2.5,2.642
Morgan Phone,941,3.5,3.359
Morgan Phone,997,2.5,2.359
Nielsen,1041,3.0,2.804
F2F Morgan,1080,2.5,2.642
F2F Morgan,1111,2.5,2.655
Nielsen,1097,3.0,2.805
F2F Morgan,1143,3.0,3.181
Newspoll,1158,2.0,2.43
F2F Morgan,1171,2.5,2.704
F2F Morgan,1203,2.5,2.73
Newspoll,1206,3.0,3.568
F2F Morgan,1231,4.0,4.24
Newspoll,1232,2.0,2.597
F2F Morgan,1269,2.0,2.24
Newspoll,1281,3.0,3.597
F2F Morgan,1290,2.5,2.74
F2F Morgan,1304,1.5,1.74
Newspoll,1321,2.5,3.097
Nielsen,1324,4.0,3.871
Morgan Phone,1329,3.0,2.612
Nielsen,1331,3.0,2.871
Morgan Phone,1333,4.5,4.112
Newspoll,1333,2.5,3.097
Morgan Phone,1335,5.0,4.612
