Firm,Day,LNP FP,LNP FP adj
SMS Morgan,146,38.5,40.083
Redbridge,145,35.8,35.891
SMS Morgan,160,39.5,41.083
SMS Morgan,173,40.0,41.583
YouGov,198,40.0,39.495
SMS Morgan,201,34.5,36.083
ResolvePM,407,36.0,37.299
Redbridge,418,41.0,41.091
ResolvePM,468,35.0,36.299
ResolvePM,529,34.0,35.299
SMS Morgan,567,31.0,32.583
Newspoll2,573,36.0,35.495
SMS Morgan,580,29.0,30.583
ResolvePM,601,31.0,32.299
ResolvePM,710,33.0,34.34
SMS Morgan,799,29.5,31.736
SMS Morgan,841,27.5,29.899
Newspoll2,853,36.0,35.073
Essential,863,36.5,35.664
Morgan multi-mode,844,29.0,32.474
ResolvePM,864,28.0,30.13
Morgan multi-mode,875,28.0,31.474
Morgan multi-mode,905,27.5,30.974
ResolvePM,913,31.0,33.13
Newspoll2,923,37.0,36.073
Freshwater,926,34.0,34.271
SMS Morgan,931,29.0,31.399
Redbridge,924,35.5,35.595
ResolvePM2,939,35.8,35.704
SMS Morgan,944,32.5,34.899
Newspoll2,944,35.0,34.073
