Firm,Day,GRN FP,GRN FP adj
Westpoll,60,10.0,10.379
Westpoll,128,6.0,6.379
Newspoll,159,13.0,10.701
Westpoll,176,7.0,7.379
Westpoll,273,6.0,6.379
Westpoll,340,8.0,8.379
Westpoll,401,8.0,8.379
Westpoll,500,10.0,10.379
Newspoll,524,11.0,8.701
Newspoll,614,16.0,13.701
Newspoll,706,14.0,11.701
Newspoll,797,13.0,10.701
Newspoll,889,12.0,9.701
Newspoll,978,12.0,9.701
Newspoll,1071,13.0,10.701
Newspoll,1163,12.0,9.701
Westpoll,1228,11.0,11.379
Newspoll,1254,11.0,8.701
Morgan Phone,1331,6.0,6.376
Westpoll,1401,8.0,8.367
Morgan Phone,1418,7.0,7.311
Newspoll,1437,12.0,10.145
Newspoll,1529,12.0,11.101
Westpoll,1591,10.0,9.661
Newspoll,1611,8.0,7.101
Galaxy,1625,9.0,8.333
Newspoll,1639,8.0,7.101
