Firm,Day,OTH FP,OTH FP adj
Essential,1,10.0,12.718
Essential,15,10.0,12.718
Essential,31,11.0,13.718
Newspoll2,47,14.0,14.406
Essential,45,10.0,12.718
Newspoll2,61,14.0,14.406
Essential,58,16.0,18.718
Essential,73,13.0,15.718
Newspoll2,75,15.0,15.406
Essential,86,13.0,15.718
Newspoll2,89,15.0,15.406
Essential,102,12.0,14.718
Newspoll2,103,14.0,14.406
Essential,116,12.0,14.718
Newspoll2,117,13.0,13.406
Essential,129,12.0,14.718
Newspoll2,131,14.0,14.406
Ipsos,137,16.0,12.004
Essential,143,14.0,16.718
Newspoll2,145,15.0,15.406
Essential,157,14.0,16.718
ReachTEL,185,18.1,17.051
Essential,187,12.0,14.718
Essential,198,16.0,18.718
Newspoll2,208,19.0,19.406
Essential,212,16.0,18.718
Essential,226,15.0,17.718
Newspoll2,229,19.0,19.406
Essential,240,17.0,19.718
Newspoll2,250,19.0,19.406
Ipsos,256,17.0,13.004
Essential,254,15.0,17.718
Newspoll2,264,18.0,18.406
Essential,266,14.0,16.718
Essential,280,14.0,16.718
Newspoll2,285,20.0,20.406
Essential,294,12.0,14.718
Ipsos,305,15.0,11.004
ReachTEL,304,17.0,15.951
Newspoll2,306,18.0,18.406
Essential,308,12.0,14.718
Newspoll2,321,18.0,18.406
Essential,322,12.0,14.718
Essential,336,17.0,19.718
Newspoll2,341,18.0,18.406
YouGov,349,21.0,18.064
Essential,350,12.0,14.718
ReachTEL,353,17.9,16.851
Newspoll2,362,19.0,19.406
YouGov,363,19.0,16.064
Essential,364,13.0,15.718
ReachTEL,373,18.9,17.851
Newspoll2,376,18.0,18.406
YouGov,376,21.0,18.064
Essential,378,16.0,18.718
Newspoll2,390,17.0,17.406
YouGov,390,23.0,20.064
Essential,392,15.0,17.718
Newspoll2,404,18.0,18.406
YouGov,404,23.0,20.064
Essential,406,15.0,17.718
ReachTEL,408,18.6,17.551
Essential,414,17.0,19.718
Newspoll2,418,16.0,16.406
YouGov,418,22.0,19.064
Ipsos,424,83.0,79.004
Essential,428,13.0,15.718
YouGov,432,20.0,17.064
Essential,435,16.0,18.718
Newspoll2,439,17.0,17.406
Essential,442,14.0,16.718
ReachTEL,447,17.0,15.951
Essential,453,15.0,17.718
Newspoll2,460,17.0,17.406
Essential,470,13.0,15.718
Newspoll2,474,18.0,18.406
Essential,488,17.0,19.718
Newspoll2,487,19.0,19.406
YouGov,488,25.0,22.064
Essential,498,15.0,17.718
YouGov,502,27.0,24.064
ReachTEL,506,21.0,19.951
Ipsos,509,20.0,16.004
Newspoll2,509,17.0,17.406
YouGov,516,21.0,18.064
Essential,516,14.0,16.718
Newspoll2,523,17.0,17.406
Essential,551,13.0,15.718
ReachTEL,563,20.0,18.951
Essential,565,16.0,18.718
Newspoll2,571,15.0,15.406
Essential,579,13.0,15.718
Newspoll2,586,17.0,17.406
ReachTEL,593,19.0,17.951
Essential,593,18.0,20.718
Newspoll2,600,16.0,16.406
Morgan multi-mode,604,14.5,16.547
Essential,607,15.0,17.718
Morgan multi-mode,618,13.0,15.047
