Firm,Day,ALP FP,ALP FP adj
Newspoll,1,33.0,34.318
Newspoll,182,27.0,28.318
Newspoll,274,31.0,32.318
SMS Morgan,317,31.5,33.178
SMS Morgan,345,32.0,33.678
Newspoll,366,33.0,34.318
SMS Morgan,373,30.5,32.178
SMS Morgan,428,35.5,37.178
Newspoll,457,35.0,36.318
SMS Morgan,457,35.0,36.678
SMS Morgan,484,34.0,35.678
SMS Morgan,513,35.5,37.178
Newspoll,547,33.0,34.318
SMS Morgan,554,36.0,37.678
SMS Morgan,582,32.5,34.178
SMS Morgan,624,34.0,35.678
SMS Morgan,653,34.0,35.678
SMS Morgan,696,32.0,33.678
Essential,730,35.0,35.315
Newspoll2,731,42.0,38.378
SMS Morgan,749,34.0,35.678
SMS Morgan,807,32.0,33.678
Essential,823,34.0,34.315
ReachTEL,853,39.4,39.58
SMS Morgan,862,37.0,38.678
SMS Morgan,879,35.5,37.178
Newspoll2,883,42.0,38.378
Essential,913,39.0,39.315
SMS Morgan,922,34.0,35.678
Essential,1004,39.0,39.343
SMS Morgan,1005,35.5,36.9
ReachTEL,1035,36.5,36.812
SMS Morgan,1066,36.5,37.438
ReachTEL,1077,36.7,37.096
Newspoll2,1082,41.0,39.1
Essential,1096,36.0,36.415
ReachTEL,1154,35.0,35.42
Newspoll2,1173,38.0,36.223
Essential,1174,34.5,34.915
Essential,1188,37.0,37.415
ReachTEL,1188,35.0,35.42
ReachTEL,1202,35.2,35.62
Galaxy,1203,40.0,39.745
Newspoll2,1209,41.0,39.223
ReachTEL,1210,41.8,42.22
