Firm,Day,DEM FP,DEM FP adj
F2F Morgan,1,9.0,8.219
F2F Morgan,62,8.0,7.219
Newspoll,76,6.0,7.176
Advertiser,107,5.263,4.685
F2F Morgan,154,4.5,3.719
Newspoll,168,3.0,4.176
F2F Morgan,215,5.5,4.719
Newspoll,260,3.0,4.176
Advertiser,265,5.376,4.798
F2F Morgan,276,4.5,3.719
F2F Morgan,338,7.0,6.219
Advertiser,349,4.255,3.677
Newspoll,352,4.0,5.176
F2F Morgan,397,5.0,4.219
Newspoll,441,2.0,3.176
F2F Morgan,458,4.0,3.219
Advertiser,496,6.522,5.944
F2F Morgan,519,7.0,6.219
Newspoll,533,2.0,3.176
F2F Morgan,580,6.0,5.219
Advertiser,594,7.609,7.031
Newspoll,625,3.0,4.176
F2F Morgan,641,7.0,6.219
F2F Morgan,703,3.5,2.719
Newspoll,717,2.0,3.176
Advertiser,748,4.301,3.723
F2F Morgan,763,3.5,2.719
Newspoll,807,3.0,4.176
F2F Morgan,824,4.5,3.719
F2F Morgan,885,3.5,2.719
Newspoll,899,2.0,3.176
F2F Morgan,946,3.0,2.219
Newspoll,991,1.0,2.176
F2F Morgan,1007,2.0,1.219
Advertiser,1016,2.083,1.505
F2F Morgan,1069,4.0,3.219
Advertiser,1083,2.0,1.422
Newspoll,1083,1.0,2.176
Advertiser,1112,4.0,3.422
F2F Morgan,1128,4.0,3.219
Newspoll,1172,1.0,2.176
F2F Morgan,1189,1.0,0.219
F2F Morgan,1250,3.0,2.225
Newspoll,1264,1.0,2.055
F2F Morgan,1311,3.5,2.753
Advertiser,1315,3.0,2.616
Advertiser,1341,1.0,0.681
Newspoll,1356,1.0,1.627
F2F Morgan,1372,4.0,3.274
Advertiser,1376,4.0,3.721
Advertiser,1413,3.529,3.251
F2F Morgan,1417,3.0,2.274
Newspoll,1434,2.0,2.618
F2F Morgan,1448,5.0,4.274
Advertiser,1449,2.2,1.921
F2F Morgan,1462,2.0,1.274
Advertiser,1469,3.4,3.121
Advertiser,1476,1.1,0.821
Newspoll,1477,1.5,2.118
