Firm,Day,ALP FP,ALP FP adj
Newspoll,1,48.0,47.281
Newspoll,63,54.0,53.281
Newspoll,122,54.0,53.281
Newspoll,183,51.0,50.281
Newspoll,244,48.0,47.281
Newspoll,305,48.0,47.281
Newspoll,366,53.0,52.281
Newspoll,428,51.0,50.281
Newspoll,487,57.0,56.281
Newspoll,578,53.0,52.281
Newspoll,670,50.0,49.281
Newspoll,701,50.0,49.281
Newspoll,793,43.0,42.281
F2F Morgan,836,45.0,44.997
Newspoll,853,47.0,46.419
F2F Morgan,867,42.0,41.892
Newspoll,914,43.0,42.556
Newspoll,975,46.0,45.556
Newspoll,1015,47.0,46.556
F2F Morgan,1022,50.0,49.741
Saulwick,1025,47.0,46.984
Newspoll,1029,51.0,50.556
Newspoll,1034,50.0,49.556
