Firm,Day,GRN FP,GRN FP adj
Morgan Phone,1,13.0,12.201
Newspoll,173,14.0,12.915
Newspoll,234,13.0,11.915
Newspoll,296,13.0,11.915
Morgan Phone,349,13.0,12.201
Newspoll,356,12.0,10.915
Morgan Phone,425,15.0,14.201
Morgan Phone,461,10.5,9.701
Newspoll,478,12.0,10.915
Morgan Phone,488,10.0,9.201
Galaxy,522,11.0,10.543
Newspoll,539,11.0,9.915
Essential,600,8.0,9.912
Newspoll,600,11.0,9.915
Newspoll,662,11.0,9.915
Essential,704,9.0,10.912
Nielsen,712,10.0,9.248
Newspoll,721,10.0,8.915
Newspoll,782,12.0,10.915
Newspoll,843,10.0,8.915
Newspoll,904,10.0,8.915
Essential,949,9.0,10.912
Essential,979,9.0,10.912
Essential,1010,8.0,9.912
Newspoll,1027,10.0,8.915
Essential,1041,8.0,9.912
Nielsen,1053,12.0,11.248
Essential,1069,8.0,9.912
Essential,1100,8.0,9.912
Essential,1130,9.0,10.912
Galaxy,1142,11.0,10.543
Newspoll,1147,13.0,11.915
Essential,1162,7.0,8.912
Essential,1192,8.0,9.912
Newspoll,1208,13.0,11.917
Essential,1223,9.0,10.893
Galaxy,1229,11.0,10.539
Essential,1254,8.0,9.862
SMS Morgan,1266,12.0,11.198
Newspoll,1269,13.0,11.984
Essential,1284,8.0,9.83
SMS Morgan,1294,10.5,9.638
Galaxy,1319,11.0,10.522
Ipsos,1319,11.0,9.957
SMS Morgan,1322,12.5,11.578
Newspoll,1330,11.0,10.045
Essential,1339,7.0,8.785
Galaxy,1368,11.0,10.521
SMS Morgan,1377,11.0,10.069
Galaxy,1382,11.0,10.521
Ipsos,1397,12.0,10.94
SMS Morgan,1406,9.5,8.569
Galaxy,1410,10.0,9.521
Newspoll,1416,11.0,10.045
ReachTEL,1417,10.0,9.648
ReachTEL,1425,10.2,9.848
Galaxy,1431,10.0,9.521
SMS Morgan,1433,11.5,10.569
Essential,1435,9.0,10.785
Lonergan,1438,10.0,9.649
Galaxy,1429,10.0,9.521
Ipsos,1439,13.0,11.94
Lonergan,1440,11.0,10.649
SMS Morgan,1441,12.0,11.069
Galaxy,1444,11.0,10.521
Newspoll,1444,11.0,10.045
ReachTEL,1445,10.5,10.148
SMS Morgan,1445,12.5,11.569
