Firm,Day,GRN FP,GRN FP adj
F2F Morgan,1,2.5,2.614
F2F Morgan,60,2.0,2.114
F2F Morgan,115,2.5,2.614
F2F Morgan,185,2.5,2.614
Newspoll,197,3.0,3.251
F2F Morgan,242,2.5,2.614
Newspoll,286,2.0,2.251
F2F Morgan,301,2.5,2.614
F2F Morgan,364,3.5,3.614
Newspoll,378,2.0,2.251
F2F Morgan,425,1.5,1.614
Newspoll,470,2.0,2.251
F2F Morgan,486,3.0,3.114
F2F Morgan,548,2.0,2.114
Newspoll,562,2.0,2.251
F2F Morgan,608,2.5,2.614
Newspoll,652,2.0,2.251
F2F Morgan,669,3.0,3.114
F2F Morgan,730,1.5,1.695
Newspoll,744,3.0,3.098
F2F Morgan,791,2.0,2.315
Newspoll,836,3.0,2.924
F2F Morgan,852,2.5,2.846
F2F Morgan,906,2.0,2.346
Newspoll,913,3.0,2.924
Newspoll,928,2.0,1.924
