Firm,Day,LNP FP,LNP FP adj
Newspoll,1,52.0,50.452
F2F Morgan,5,49.5,52.408
Newspoll,15,54.0,52.452
F2F Morgan,18,49.5,52.408
Newspoll,29,55.0,53.452
F2F Morgan,33,48.0,50.908
Newspoll,43,53.0,51.452
F2F Morgan,47,51.5,54.408
Nielsen,50,53.0,53.595
Newspoll,57,55.0,53.452
F2F Morgan,61,49.5,52.408
Newspoll,71,55.0,53.452
Nielsen,78,49.0,49.595
Morgan Phone,78,50.0,48.717
F2F Morgan,79,45.5,48.408
Newspoll,92,48.0,46.452
Nielsen,92,50.0,50.595
Morgan Phone,99,50.5,49.217
F2F Morgan,100,48.0,50.908
Newspoll,106,47.0,45.452
Nielsen,106,46.0,46.595
Morgan Phone,108,50.5,49.217
F2F Morgan,110,46.0,48.908
Newspoll,120,51.0,49.452
Nielsen,120,49.0,49.595
Morgan Phone,121,51.0,49.717
F2F Morgan,124,46.5,49.408
Newspoll,134,49.0,47.452
Morgan Phone,135,51.0,49.717
F2F Morgan,138,43.5,46.408
Newspoll,148,47.0,45.452
Nielsen,148,45.0,45.595
Morgan Phone,149,50.0,48.717
F2F Morgan,152,43.5,46.408
Newspoll,162,50.0,48.452
Nielsen,162,45.0,45.595
Morgan Phone,164,49.5,48.217
F2F Morgan,166,44.5,47.408
Newspoll,176,49.0,47.452
Morgan Phone,177,46.0,44.717
F2F Morgan,180,44.0,46.908
Newspoll,190,50.0,48.452
Morgan Phone,191,50.0,48.717
F2F Morgan,191,45.0,47.908
Nielsen,204,48.0,48.595
Morgan Phone,205,49.0,47.717
F2F Morgan,208,43.0,45.908
Newspoll,211,50.0,48.452
Morgan Phone,223,49.5,48.217
Newspoll,225,51.0,49.452
F2F Morgan,226,42.0,44.908
Nielsen,232,48.0,48.595
Morgan Phone,233,49.0,47.717
F2F Morgan,236,43.5,46.408
Newspoll,239,51.0,49.452
Morgan Phone,247,48.0,46.717
F2F Morgan,250,43.5,46.408
Newspoll,253,49.0,47.452
Nielsen,260,47.0,47.595
Morgan Phone,261,48.0,46.717
F2F Morgan,264,44.0,46.908
Newspoll,267,48.0,46.452
Newspoll,274,48.0,46.452
Morgan Phone,275,48.0,46.717
F2F Morgan,278,43.5,46.408
Morgan Phone,303,49.5,48.217
F2F Morgan,306,44.5,47.408
Newspoll,309,49.0,47.452
Nielsen,309,44.0,44.595
Morgan Phone,317,49.0,47.717
F2F Morgan,320,44.5,47.408
