Firm,Day,GRN FP,GRN FP adj
F2F Morgan,1,1.5,1.767
F2F Morgan,33,2.0,2.267
Nielsen,50,2.0,2.141
F2F Morgan,58,1.5,1.767
F2F Morgan,96,1.0,1.267
F2F Morgan,124,2.0,2.267
Nielsen,141,2.0,2.141
F2F Morgan,152,2.0,2.267
F2F Morgan,184,2.0,2.267
F2F Morgan,215,2.0,2.267
Nielsen,232,2.0,2.141
F2F Morgan,243,2.5,2.767
F2F Morgan,275,3.0,3.267
Nielsen,288,2.0,2.141
F2F Morgan,305,1.5,1.767
F2F Morgan,336,1.5,1.767
F2F Morgan,366,1.5,1.767
F2F Morgan,397,2.5,2.767
F2F Morgan,427,3.0,3.267
F2F Morgan,458,2.5,2.767
F2F Morgan,489,2.0,2.267
Nielsen,498,3.0,3.141
F2F Morgan,517,2.5,2.767
F2F Morgan,548,4.0,4.267
Nielsen,554,3.0,3.141
F2F Morgan,578,2.5,2.767
F2F Morgan,609,3.0,3.267
F2F Morgan,639,2.5,2.767
F2F Morgan,670,2.5,2.767
F2F Morgan,701,3.0,3.267
Newspoll,717,3.0,3.649
F2F Morgan,731,3.0,3.267
F2F Morgan,762,5.5,5.767
Newspoll,778,5.0,5.649
F2F Morgan,792,6.0,6.267
F2F Morgan,823,5.5,5.767
Newspoll,840,5.0,5.649
F2F Morgan,854,4.0,4.267
F2F Morgan,882,5.0,5.267
Newspoll,899,5.0,5.649
F2F Morgan,913,6.0,6.3
F2F Morgan,943,6.5,6.881
Newspoll,960,4.0,5.008
F2F Morgan,974,6.5,6.961
F2F Morgan,1004,6.5,7.042
Newspoll,1021,6.0,7.392
F2F Morgan,1035,6.5,7.091
Nielsen,1057,9.0,9.055
F2F Morgan,1066,8.0,8.591
Newspoll,1082,7.0,8.392
F2F Morgan,1096,7.0,7.591
F2F Morgan,1127,7.5,8.091
Saulwick,1128,10.87,10.787
Newspoll,1125,7.0,8.392
Morgan Phone,1134,11.0,9.644
Newspoll,1140,8.0,9.392
Morgan Phone,1140,11.5,10.144
Saulwick,1141,9.091,9.008
Morgan Phone,1142,12.0,10.644
