Firm,Day,NAT FP,NAT FP adj
Newspoll,1,4.0,4.044
Newspoll,92,4.0,4.044
Newspoll,184,4.0,4.044
Newspoll,245,4.0,4.044
Newspoll,307,4.0,4.044
Newspoll,396,4.0,4.044
Newspoll,488,4.0,4.044
Newspoll,580,4.0,4.044
Newspoll,672,4.0,4.044
Newspoll,761,4.0,4.044
Newspoll,853,4.0,4.044
Newspoll,945,4.0,4.044
Newspoll,1037,4.0,4.044
Westpoll,1105,2.247,2.373
Newspoll,1127,4.0,4.045
Newspoll,1219,4.0,4.049
Newspoll,1311,4.0,4.049
Newspoll,1338,4.0,4.049
