Firm,Day,LIB FP,LIB FP adj
Essential,1,33.0,33.436
Essential,93,32.0,32.436
Essential,185,29.0,29.436
Galaxy,446,32.0,32.194
uComms,1375,27.5,27.06
Newspoll2,1375,23.0,23.508
Newspoll2,1394,23.0,23.508
