Firm,Day,ONP FP,ONP FP adj
Essential,1,14.0,13.440366548807722
Galaxy,55,10.0,9.842122827738917
Galaxy,147,12.0,11.842122827738917
Galaxy,237,10.0,9.842122827738917
Galaxy,330,10.0,9.842122827738917
Galaxy,426,8.0,7.842122827738917
Galaxy,622,13.0,12.842122827738917
Galaxy,783,15.0,14.842122827738917
Galaxy,902,12.0,11.733027678655422
Newspoll2,954,11.0,10.837074033757236
Galaxy,1018,9.0,8.702852424653603
Newspoll2,1032,9.0,8.837074033757236
SMS Morgan,1041,12.0,11.43359848509214
Newspoll2,1048,10.0,9.837074033757236
