Firm,Day,LNP FP,LNP FP adj
ResolvePM,1,30.0,31.191
ResolvePM,60,30.0,31.191
SMS Morgan,109,28.5,29.087
ResolvePM,121,26.0,27.191
SMS Morgan,170,35.5,36.087
ResolvePM,182,28.0,29.191
Redbridge,227,34.0,32.969
ResolvePM,243,32.0,33.191
ResolvePM,304,31.0,32.191
Redbridge,318,36.0,34.969
Redbridge,411,38.0,36.969
ResolvePM,402,35.0,36.191
ResolvePM,458,37.0,38.191
Redbridge,426,38.0,36.969
ResolvePM,514,37.0,38.191
Redbridge,544,40.0,38.969
Wolf&Smith,565,40.0,39.796
ResolvePM,567,37.0,38.191
Redbridge,608,40.0,38.969
Redbridge,663,43.0,41.969
ResolvePM,715,42.0,43.191
DemosAU,778,39.0,38.784
ResolvePM,760,41.0,42.191
Redbridge,791,41.0,39.969
Newspoll3,878,35.0,35.288
Redbridge,876,38.0,36.969
ResolvePM,913,33.0,34.191
Redbridge,953,37.0,35.969
DemosAU,949,38.0,37.784
ResolvePM,944,33.0,34.191
DemosAU,997,37.0,36.784
Newspoll3,1023,36.0,36.288
Freshwater,1027,37.0,36.889
ResolvePM,1005,39.0,40.191
Redbridge,1035,40.0,38.969
DemosAU,1102,29.0,28.545
ResolvePM,1093,30.0,30.938
SMS Morgan,1111,21.5,22.524
Freshwater,1117,27.0,26.912
Redbridge,1119,28.0,27.468
Freshwater,1145,30.0,29.921
ResolvePM,1155,29.0,29.582
SMS Morgan,1178,24.0,25.433
Freshwater,1223,27.0,26.929
DemosAU,1225,30.0,29.231
ResolvePM,1217,26.0,26.502
Redbridge,1239,26.0,25.825
ResolvePM,1252,27.0,27.502
Newspoll3,1271,31.0,30.306
Redbridge,1276,30.0,29.825
Freshwater,1279,30.0,29.929
SMS Morgan,1283,26.0,27.433
YouGov2,1244,26.0,26.374
DemosAU,1285,32.0,31.231
ResolvePM,1289,27.0,27.502
