Firm,Day,DEM FP,DEM FP adj
F2F Morgan,1,9.0,8.447
F2F Morgan,15,8.0,7.447
Newspoll,22,8.0,7.484
F2F Morgan,29,8.0,7.447
F2F Morgan,43,8.0,7.447
F2F Morgan,57,8.0,7.447
Newspoll,60,9.0,8.484
F2F Morgan,71,8.0,7.447
Newspoll,81,9.0,8.484
F2F Morgan,85,9.0,8.447
F2F Morgan,99,8.0,7.447
Newspoll,106,8.0,7.484
F2F Morgan,113,9.0,8.447
Newspoll,127,8.0,7.484
F2F Morgan,127,8.0,7.447
Newspoll,141,9.0,8.484
F2F Morgan,141,8.0,7.447
F2F Morgan,176,10.0,9.447
F2F Morgan,190,9.0,8.447
F2F Morgan,204,7.0,6.447
Newspoll,214,8.0,7.484
F2F Morgan,218,9.0,8.447
F2F Morgan,232,9.0,8.447
Newspoll,242,9.0,8.484
F2F Morgan,246,8.0,7.447
F2F Morgan,260,9.0,8.447
Newspoll,274,8.0,7.484
F2F Morgan,274,9.0,8.447
F2F Morgan,288,8.0,7.447
F2F Morgan,302,8.0,7.447
Newspoll,312,9.0,8.484
F2F Morgan,316,8.0,7.447
F2F Morgan,330,9.0,8.447
Newspoll,333,9.0,8.484
F2F Morgan,344,8.0,7.447
Saulwick,348,11.0,9.979
F2F Morgan,358,8.0,7.447
Newspoll,361,10.0,9.484
F2F Morgan,372,9.0,8.447
Saulwick,379,8.0,6.979
Newspoll,386,7.0,6.484
F2F Morgan,386,9.0,8.447
F2F Morgan,400,6.5,5.947
Saulwick,410,8.0,6.979
F2F Morgan,414,9.0,8.447
Newspoll,424,8.0,7.484
F2F Morgan,428,8.5,7.947
Saulwick,441,10.0,8.979
F2F Morgan,442,7.0,6.447
Newspoll,452,6.0,5.484
F2F Morgan,456,6.0,5.447
F2F Morgan,470,8.0,7.447
Newspoll,480,8.0,7.484
F2F Morgan,484,7.0,6.447
F2F Morgan,498,6.5,5.947
Newspoll,505,7.0,6.484
F2F Morgan,512,7.0,6.447
F2F Morgan,540,7.0,6.447
F2F Morgan,554,7.0,6.447
F2F Morgan,568,8.0,7.447
Newspoll,571,9.0,8.484
F2F Morgan,582,8.0,7.447
F2F Morgan,596,9.0,8.447
Newspoll,599,9.0,8.484
F2F Morgan,610,9.0,8.447
F2F Morgan,624,9.0,8.447
Newspoll,635,10.0,9.484
F2F Morgan,638,10.0,9.447
F2F Morgan,652,9.0,8.447
Newspoll,655,6.0,5.484
F2F Morgan,661,7.0,6.447
F2F Morgan,663,7.0,6.447
Newspoll,669,8.0,7.484
F2F Morgan,670,9.0,8.447
F2F Morgan,680,11.0,10.447
Newspoll,690,9.0,8.484
F2F Morgan,694,11.0,10.447
Newspoll,704,10.0,9.484
F2F Morgan,708,11.0,10.447
F2F Morgan,722,10.0,9.447
Newspoll,725,10.0,9.484
F2F Morgan,736,9.0,8.447
F2F Morgan,747,8.0,7.456
F2F Morgan,754,9.0,8.46
Newspoll,760,8.0,7.457
F2F Morgan,765,8.0,7.469
F2F Morgan,778,9.0,8.477
Newspoll,788,9.0,8.425
F2F Morgan,792,10.0,9.487
F2F Morgan,806,10.5,9.997
Newspoll,816,9.5,8.893
F2F Morgan,820,9.0,8.508
F2F Morgan,834,10.0,9.518
F2F Morgan,848,8.0,7.528
Newspoll,851,9.0,8.352
F2F Morgan,862,9.5,9.034
Newspoll,869,9.5,8.848
F2F Morgan,876,10.0,9.534
F2F Morgan,904,9.0,8.534
F2F Morgan,918,10.0,9.534
F2F Morgan,932,10.0,9.534
Newspoll,935,12.0,11.348
F2F Morgan,943,12.0,11.534
F2F Morgan,950,14.0,13.534
Newspoll,956,13.0,12.348
F2F Morgan,957,14.0,13.534
F2F Morgan,964,14.0,13.534
Newspoll,970,17.0,16.348
F2F Morgan,971,14.0,13.534
F2F Morgan,973,15.0,14.534
Newspoll,974,14.0,13.348
F2F Morgan,975,13.5,13.034
