Firm,Day,LIB FP,LIB FP adj
Newspoll,1,36.0,38.083
Newspoll,182,34.0,36.083
Newspoll,274,35.0,37.083
SMS Morgan,317,42.5,42.774
SMS Morgan,345,38.5,38.774
Newspoll,366,34.0,36.083
SMS Morgan,373,35.0,35.274
SMS Morgan,428,35.5,35.774
Newspoll,457,34.0,36.083
SMS Morgan,457,36.0,36.274
SMS Morgan,484,35.0,35.274
SMS Morgan,513,36.5,36.774
Newspoll,547,33.0,35.083
SMS Morgan,554,34.5,34.774
SMS Morgan,582,38.5,38.774
SMS Morgan,624,35.0,35.274
SMS Morgan,653,35.0,35.274
SMS Morgan,696,37.5,37.774
Essential,730,37.0,36.719
Newspoll2,731,37.0,37.371
SMS Morgan,749,35.0,35.274
SMS Morgan,807,39.5,39.774
Essential,823,40.0,39.719
ReachTEL,853,37.3,36.391
SMS Morgan,862,33.5,33.774
SMS Morgan,879,36.5,36.774
Newspoll2,883,34.0,34.371
Essential,913,36.0,35.719
SMS Morgan,922,36.5,36.774
Essential,1004,34.0,33.936
SMS Morgan,1005,34.5,34.694
ReachTEL,1035,38.2,36.801
SMS Morgan,1066,34.0,34.059
ReachTEL,1077,35.9,34.189
Newspoll2,1082,34.0,34.359
Essential,1096,34.0,34.486
ReachTEL,1154,36.1,34.299
Newspoll2,1173,30.0,30.358
Essential,1174,27.5,27.986
Essential,1188,32.0,32.486
ReachTEL,1188,35.4,33.599
ReachTEL,1202,34.6,32.799
Galaxy,1203,31.0,30.945
Newspoll2,1209,32.0,32.358
ReachTEL,1210,33.9,32.099
