Firm,Day,OTH FP,OTH FP adj
F2F Morgan,1,8.5,9.116
F2F Morgan,23,7.5,8.116
F2F Morgan,36,8.5,9.116
Newspoll,39,10.0,8.403
F2F Morgan,50,8.5,9.116
Newspoll,53,12.0,10.403
F2F Morgan,64,8.5,9.116
Newspoll,67,9.0,7.403
F2F Morgan,92,8.5,9.116
Nielsen,102,7.0,7.881
Newspoll,102,10.0,8.403
F2F Morgan,106,9.0,9.616
Newspoll,116,9.0,7.403
F2F Morgan,120,8.5,9.116
Nielsen,123,7.0,7.881
Newspoll,130,9.0,7.403
F2F Morgan,134,7.5,8.116
Newspoll,144,9.0,7.403
F2F Morgan,145,5.5,6.116
Nielsen,151,9.0,9.881
F2F Morgan,152,8.5,9.116
Newspoll,158,11.0,9.403
F2F Morgan,162,9.0,9.616
Newspoll,172,11.0,9.403
F2F Morgan,176,8.5,9.116
Nielsen,179,9.0,9.881
Newspoll,186,11.0,9.403
F2F Morgan,190,9.5,10.116
Newspoll,200,10.0,8.403
F2F Morgan,204,7.5,8.116
Nielsen,207,9.0,9.881
Newspoll,214,9.0,7.403
F2F Morgan,215,8.0,8.616
F2F Morgan,225,8.5,9.116
Newspoll,228,11.0,9.403
Nielsen,235,10.0,10.881
F2F Morgan,239,9.5,10.116
Newspoll,249,12.0,10.403
F2F Morgan,253,9.5,10.116
Nielsen,263,8.0,8.881
Newspoll,263,11.0,9.403
F2F Morgan,267,9.5,10.116
Newspoll,277,11.0,9.403
Nielsen,291,9.0,9.881
Newspoll,291,10.0,8.403
F2F Morgan,295,9.0,9.616
Newspoll,305,11.0,9.403
F2F Morgan,309,11.5,12.116
Nielsen,319,10.0,10.881
Newspoll,319,12.0,10.403
F2F Morgan,323,10.5,11.116
Newspoll,333,13.0,11.403
F2F Morgan,334,12.0,12.616
F2F Morgan,341,11.5,12.116
Nielsen,347,13.0,13.881
Newspoll,347,14.0,12.403
F2F Morgan,351,10.5,11.116
Newspoll,361,13.0,11.403
F2F Morgan,365,10.0,10.616
Nielsen,375,10.0,10.881
Newspoll,375,14.0,12.403
F2F Morgan,379,10.5,11.116
Newspoll,389,12.0,10.403
F2F Morgan,390,9.0,9.616
F2F Morgan,396,9.5,10.116
Nielsen,403,11.0,11.881
Newspoll,403,12.0,10.403
F2F Morgan,407,10.0,10.616
Newspoll,417,14.0,12.403
F2F Morgan,421,9.5,10.116
Nielsen,431,12.0,12.881
Newspoll,431,13.0,11.403
F2F Morgan,432,10.5,11.116
F2F Morgan,456,10.0,10.616
Newspoll,459,11.0,9.403
F2F Morgan,470,11.5,12.116
Nielsen,473,8.0,8.881
Newspoll,473,13.0,11.403
F2F Morgan,481,9.5,10.116
Newspoll,487,15.0,13.403
F2F Morgan,491,11.5,12.116
Nielsen,501,10.0,10.881
Newspoll,501,13.0,11.403
F2F Morgan,505,9.5,10.116
Newspoll,515,14.0,12.403
F2F Morgan,519,9.0,9.616
Nielsen,529,11.0,11.881
Newspoll,529,13.0,11.403
F2F Morgan,533,9.5,10.116
Newspoll,543,13.0,11.403
F2F Morgan,547,10.0,10.616
Nielsen,557,10.0,10.881
F2F Morgan,561,12.5,13.116
Newspoll,564,14.0,12.403
F2F Morgan,572,9.5,10.116
Newspoll,578,12.0,10.403
F2F Morgan,579,10.5,11.116
Nielsen,584,8.0,8.881
F2F Morgan,589,9.5,10.116
Newspoll,592,14.0,12.403
F2F Morgan,603,10.5,11.116
Nielsen,612,12.0,12.881
Newspoll,613,11.0,9.403
F2F Morgan,617,9.0,9.616
Newspoll,627,14.0,12.403
F2F Morgan,631,10.0,10.616
Nielsen,640,8.0,8.881
Newspoll,641,11.0,9.403
F2F Morgan,642,10.0,10.616
F2F Morgan,652,10.0,10.616
Newspoll,655,12.0,10.403
Newspoll,662,10.0,8.403
F2F Morgan,666,9.5,10.116
Nielsen,668,9.0,9.881
Newspoll,669,12.0,10.403
F2F Morgan,680,10.5,11.116
Newspoll,683,9.0,7.403
F2F Morgan,694,10.0,10.616
Nielsen,696,9.0,9.881
Newspoll,697,14.0,12.403
F2F Morgan,708,9.0,9.616
Newspoll,711,11.0,9.403
F2F Morgan,722,9.5,10.116
Nielsen,724,10.0,10.881
Newspoll,732,12.0,10.403
F2F Morgan,736,9.5,10.116
Newspoll,746,10.0,8.403
F2F Morgan,750,9.0,9.616
Nielsen,752,9.0,9.881
Newspoll,760,13.0,11.403
F2F Morgan,764,9.0,9.616
Newspoll,774,13.0,11.403
F2F Morgan,778,8.5,9.116
Nielsen,780,7.0,7.881
Newspoll,787,10.0,8.403
F2F Morgan,789,8.5,9.116
F2F Morgan,796,8.5,9.116
F2F Morgan,820,8.5,9.116
Newspoll,830,10.0,8.403
F2F Morgan,834,10.0,10.616
Newspoll,844,10.0,8.403
F2F Morgan,845,8.0,8.616
Nielsen,850,6.0,6.881
F2F Morgan,855,7.0,7.616
Newspoll,858,8.0,6.403
F2F Morgan,866,6.0,6.616
Newspoll,872,11.0,9.403
F2F Morgan,873,8.5,9.116
Nielsen,878,7.0,7.881
F2F Morgan,880,7.0,7.616
Newspoll,886,9.0,7.403
F2F Morgan,887,7.5,8.116
F2F Morgan,897,7.0,7.616
Newspoll,900,9.0,7.409
F2F Morgan,911,7.0,7.625
Newspoll,914,9.0,7.449
Galaxy,921,5.0,6.693
Nielsen,920,6.0,6.954
F2F Morgan,925,6.5,7.134
Newspoll,928,10.0,8.49
F2F Morgan,936,6.0,6.641
Newspoll,942,10.0,8.531
Galaxy,942,3.0,4.655
F2F Morgan,943,5.0,5.646
Nielsen,948,5.0,6.048
Newspoll,949,9.0,7.555
F2F Morgan,950,5.5,6.15
Newspoll,953,9.0,7.566
Newspoll,956,10.0,8.572
F2F Morgan,957,7.5,8.155
Galaxy,963,4.0,5.613
F2F Morgan,964,5.5,6.159
F2F Morgan,974,8.5,9.165
Nielsen,976,5.0,6.142
Newspoll,977,10.0,8.637
F2F Morgan,988,6.5,7.174
Galaxy,991,4.0,5.56
Newspoll,998,9.0,7.695
F2F Morgan,1002,6.5,7.183
Morgan Phone,1003,8.729,8.812
Nielsen,1004,6.0,7.236
Newspoll,1012,9.0,7.736
F2F Morgan,1016,6.0,6.692
Galaxy,1019,5.0,6.51
Newspoll,1026,9.0,7.754
F2F Morgan,1030,7.0,7.693
Nielsen,1032,7.0,8.283
Newspoll,1040,10.0,8.754
F2F Morgan,1044,6.5,7.193
Galaxy,1047,5.0,6.51
Newspoll,1054,9.0,7.754
F2F Morgan,1055,7.5,8.193
Nielsen,1060,4.0,5.283
F2F Morgan,1062,7.0,7.693
Newspoll,1068,8.0,6.754
F2F Morgan,1069,5.0,5.693
Galaxy,1075,5.0,6.51
F2F Morgan,1076,4.5,5.193
Newspoll,1082,8.0,6.754
F2F Morgan,1083,5.5,6.193
Nielsen,1088,5.0,6.283
F2F Morgan,1090,6.5,7.193
Morgan Phone,1091,7.584,7.626
Newspoll,1096,9.0,7.754
F2F Morgan,1097,4.0,4.693
Galaxy,1099,4.0,5.51
Nielsen,1099,5.0,6.283
Morgan Phone,1101,6.5,6.542
Newspoll,1103,6.0,4.754
F2F Morgan,1104,5.5,6.193
Morgan Phone,1108,4.5,4.542
Newspoll,1110,6.0,4.754
F2F Morgan,1111,4.5,5.193
Nielsen,1113,5.0,6.283
Galaxy,1117,4.0,5.51
Newspoll,1117,6.0,4.754
F2F Morgan,1118,5.5,6.193
Morgan Phone,1122,6.0,6.042
Newspoll,1124,6.0,4.754
F2F Morgan,1125,6.0,6.693
Nielsen,1127,4.0,5.283
Morgan Phone,1130,5.5,5.542
Newspoll,1131,6.0,4.754
F2F Morgan,1132,5.0,5.693
Galaxy,1134,6.984,8.494
Nielsen,1134,4.0,5.283
Newspoll,1135,6.0,4.754
Morgan Phone,1136,6.0,6.042
Morgan Phone,1137,6.5,6.542
