Firm,Day,ALP FP,ALP FP adj
Morgan Phone,1,19.0,20.255
Newspoll,173,22.0,22.746
Newspoll,234,24.0,24.746
Newspoll,296,25.0,25.746
Morgan Phone,349,24.5,25.755
Newspoll,356,24.0,24.746
Morgan Phone,425,23.5,24.755
Morgan Phone,461,21.5,22.755
Newspoll,478,27.0,27.746
Morgan Phone,488,27.0,28.255
Galaxy,522,31.0,29.659
Newspoll,539,28.0,28.746
Essential,600,31.0,28.365
Newspoll,600,29.0,29.746
Newspoll,662,27.0,27.746
Essential,704,33.0,30.365
Nielsen,712,23.0,23.71
Newspoll,721,28.0,28.746
Newspoll,782,28.0,28.746
Newspoll,843,28.0,28.746
Newspoll,904,32.0,32.746
Essential,949,33.0,30.365
Essential,979,36.0,33.365
Essential,1010,33.0,30.365
Newspoll,1027,31.0,31.746
Essential,1041,36.0,33.365
Nielsen,1053,35.0,35.71
Essential,1069,37.0,34.365
Essential,1100,36.0,33.365
Essential,1130,38.0,35.365
Galaxy,1142,37.0,35.659
Newspoll,1147,31.0,31.746
Essential,1162,38.0,35.365
Essential,1192,36.0,33.365
Newspoll,1208,33.0,33.737
Essential,1223,35.0,32.5
Galaxy,1229,35.0,33.819
Essential,1254,36.0,33.725
SMS Morgan,1266,32.5,33.152
Newspoll,1269,33.0,33.453
Essential,1284,36.0,33.95
SMS Morgan,1294,34.0,34.796
Galaxy,1319,34.0,33.419
Ipsos,1319,36.0,36.206
SMS Morgan,1322,32.5,33.441
Newspoll,1330,33.0,33.196
Essential,1339,38.0,36.264
Galaxy,1368,36.0,35.459
SMS Morgan,1377,35.0,35.962
Galaxy,1382,36.0,35.459
Ipsos,1397,34.0,34.213
SMS Morgan,1406,34.0,34.962
Galaxy,1410,36.0,35.459
Newspoll,1416,36.0,36.196
ReachTEL,1417,35.0,35.087
ReachTEL,1425,34.8,34.887
Galaxy,1431,36.0,35.459
SMS Morgan,1433,33.5,34.462
Essential,1435,36.0,34.264
Lonergan,1438,34.0,34.441
Galaxy,1429,36.0,35.459
Ipsos,1439,32.0,32.213
Lonergan,1440,31.0,31.441
SMS Morgan,1441,32.5,33.462
Galaxy,1444,34.0,33.459
Newspoll,1444,34.0,34.196
ReachTEL,1445,33.8,33.887
SMS Morgan,1445,29.0,29.962
