Firm,Day,GRN FP,GRN FP adj
Newspoll2,1,10.0,9.371
Newspoll2,126,14.0,13.371
ResolvePM,233,11.0,11.241
Newspoll2,287,13.0,12.371
ResolvePM,373,12.0,12.241
Newspoll2,405,13.0,12.371
Freshwater,495,11.0,11.039
ResolvePM,495,11.0,11.241
Redbridge,557,14.0,13.817
YouGov2,606,13.0,12.593
ResolvePM,618,12.0,12.241
uComms,660,11.9,11.727
uComms,669,13.3,13.127
uComms,729,12.2,12.027
Newspoll,748,13.0,12.884
uComms,784,14.444,14.159
YouGov2,782,15.0,14.588
ResolvePM,774,13.0,13.173
Redbridge,770,12.0,11.886
uComms,813,12.976,12.62
YouGov2,872,14.0,13.58
Wolf&Smith,909,12.0,11.872
ResolvePM,880,12.0,12.025
Redbridge,866,11.0,11.06
Newspoll,937,12.0,12.006
Freshwater,950,12.0,11.863
YouGov2,965,11.0,10.58
ResolvePM,969,11.0,10.966
Newspoll,973,11.0,11.006
uComms,976,12.8,12.346
