Firm,Day,ALP FP,ALP FP adj
Newspoll,1,34.0,35.735
Nielsen,17,38.0,37.556
Newspoll,61,35.0,36.735
Newspoll,122,32.0,33.735
Taverner,147,28.571,29.521
Newspoll,183,33.0,34.735
Newspoll,244,29.0,30.735
Newspoll,305,26.0,27.735
Newspoll,367,30.0,31.735
Newspoll,426,33.0,34.735
Newspoll,487,31.0,32.735
Newspoll,548,32.0,33.735
Newspoll,609,30.0,31.735
Nielsen,662,31.0,30.556
Newspoll,670,26.0,27.735
Galaxy,714,29.0,30.308
Newspoll,732,30.0,31.735
Morgan Phone,754,34.5,34.109
Galaxy,784,29.0,30.308
Newspoll,791,31.0,32.735
Newspoll,852,25.0,26.735
Morgan Phone,857,28.5,28.109
Newspoll,913,25.0,26.668
Essential,974,29.0,28.379
Newspoll,974,23.0,23.991
Morgan Phone,1017,22.0,21.888
Newspoll,1058,24.0,24.383
Galaxy,1085,20.0,21.228
Essential,1097,27.0,26.373
Newspoll,1097,23.0,23.383
Essential,1106,24.0,23.373
Nielsen,1110,22.0,22.382
Galaxy,1126,23.0,24.228
Newspoll,1133,26.0,26.383
Essential,1141,23.0,22.373
Newspoll,1147,23.0,23.383
Galaxy,1147,22.0,23.228
Nielsen,1147,22.0,22.382
