Firm,Day,GRN FP,GRN FP adj
F2F Morgan,1,4.5,4.314
F2F Morgan,62,3.0,2.814
Newspoll,76,2.0,2.753
Advertiser,107,3.158,2.781
F2F Morgan,154,5.5,5.314
Newspoll,168,3.0,3.753
F2F Morgan,215,7.0,6.814
Newspoll,260,4.0,4.753
Advertiser,265,2.151,1.773
F2F Morgan,276,4.5,4.314
F2F Morgan,338,6.0,5.814
Advertiser,349,8.511,8.134
Newspoll,352,6.0,6.753
F2F Morgan,397,6.0,5.814
Newspoll,441,3.0,3.753
F2F Morgan,458,5.0,4.814
Advertiser,496,5.435,5.058
F2F Morgan,519,6.0,5.814
Newspoll,533,3.0,3.753
F2F Morgan,580,4.0,3.814
Advertiser,594,5.435,5.058
Newspoll,625,3.0,3.753
F2F Morgan,641,6.5,6.314
F2F Morgan,703,4.0,3.814
Newspoll,717,5.0,5.753
Advertiser,748,5.376,4.999
F2F Morgan,763,7.5,7.314
Newspoll,807,3.0,3.753
F2F Morgan,824,4.5,4.314
F2F Morgan,885,6.0,5.814
Newspoll,899,6.0,6.753
F2F Morgan,946,3.5,3.314
Newspoll,991,4.0,4.753
F2F Morgan,1007,4.0,3.814
Advertiser,1016,7.292,6.915
F2F Morgan,1069,5.5,5.314
Advertiser,1083,4.0,3.623
Newspoll,1083,5.0,5.753
Advertiser,1112,6.0,5.623
F2F Morgan,1128,3.5,3.314
Newspoll,1172,4.0,4.753
F2F Morgan,1189,4.0,3.814
F2F Morgan,1250,3.5,3.326
Newspoll,1264,4.0,4.678
F2F Morgan,1311,4.5,4.391
Advertiser,1315,6.0,5.601
Advertiser,1341,5.0,4.593
Newspoll,1356,4.0,4.415
F2F Morgan,1372,4.0,3.94
Advertiser,1376,4.0,3.589
Advertiser,1413,4.706,4.294
F2F Morgan,1417,4.5,4.44
Newspoll,1434,3.0,3.409
F2F Morgan,1448,4.0,3.94
Advertiser,1449,4.5,4.089
F2F Morgan,1462,2.0,1.94
Advertiser,1469,2.3,1.889
Advertiser,1476,6.8,6.389
Newspoll,1477,4.0,4.409
