Firm,Day,GRN FP,GRN FP adj
Newspoll2,37,11.0,10.917
Newspoll2,58,11.0,10.917
Newspoll2,78,12.0,11.917
Newspoll2,100,13.0,12.917
Newspoll2,121,13.0,12.917
Newspoll2,142,12.0,11.917
Newspoll2,155,12.0,11.917
Newspoll2,169,11.0,10.917
Newspoll2,204,12.0,11.917
Newspoll2,225,13.0,12.917
ANU,220,14.7,12.972
Essential,204,10.638,11.527
Essential,218,9.574,10.463
Essential,232,10.638,11.527
Essential,246,10.638,11.527
Newspoll2,246,13.0,12.917
Morgan multi-mode,258,11.0,10.083
Essential,261,8.602,9.491
Newspoll2,267,12.0,11.917
Essential,275,10.87,11.759
Essential,282,10.87,11.759
Newspoll2,287,13.0,12.917
Essential,289,10.989,11.878
Essential,296,10.638,11.527
Essential,303,10.753,11.642
Morgan multi-mode,307,11.5,10.583
Newspoll2,309,12.0,11.917
Essential,310,10.638,11.527
Essential,317,10.989,11.878
Essential,324,9.89,10.779
Newspoll2,330,10.0,9.917
Essential,331,8.791,9.68
Morgan multi-mode,335,11.0,10.083
Essential,338,11.828,12.717
Essential,345,10.638,11.527
Newspoll2,351,12.0,11.917
Essential,354,9.783,10.672
Essential,361,9.574,10.463
Morgan multi-mode,363,10.5,9.583
Essential,368,9.89,10.779
Newspoll2,371,11.0,10.917
Essential,375,9.89,10.779
Essential,387,10.989,11.878
Newspoll2,393,10.0,9.917
Morgan multi-mode,391,11.0,10.083
Essential,401,9.783,10.672
Newspoll2,414,11.0,10.917
Essential,415,10.0,10.889
Morgan multi-mode,419,11.0,10.083
Essential,429,9.677,10.566
Newspoll2,435,11.0,10.917
Essential,443,10.87,11.759
Newspoll2,456,12.0,11.917
Essential,457,10.989,11.878
Essential,471,9.677,10.566
Newspoll2,477,11.0,10.917
Essential,478,10.0,10.889
Essential,485,9.677,10.566
Morgan multi-mode,489,12.0,11.083
Newspoll2,505,11.0,10.917
Morgan multi-mode,517,12.0,11.083
Newspoll2,526,11.0,10.917
Essential,499,9.89,10.779
Essential,513,9.783,10.672
Essential,527,9.783,10.672
Essential,541,8.791,9.68
Essential,576,10.753,11.642
Newspoll2,589,10.0,9.917
Essential,590,10.87,11.759
Morgan multi-mode,601,13.0,12.083
Newspoll2,610,10.0,9.917
Newspoll2,631,10.0,9.917
Morgan multi-mode,629,12.5,11.583
Newspoll2,645,11.0,10.917
ResolvePM,667,12.0,11.705
Newspoll2,673,10.0,9.917
Newspoll2,695,12.0,11.917
ResolvePM,694,12.0,11.705
Newspoll2,715,11.0,10.917
Morgan multi-mode,713,11.5,10.583
ResolvePM,722,10.0,9.705
Morgan multi-mode,727,12.0,11.083
Newspoll2,736,11.0,10.917
Newspoll2,757,10.0,9.917
ResolvePM,756,12.0,11.705
Essential,603,8.602,9.491
Essential,617,9.783,10.672
Essential,631,9.783,10.672
Essential,645,8.602,9.491
Essential,659,10.753,11.642
Essential,673,10.753,11.642
Essential,687,9.89,10.779
Essential,701,10.989,11.878
Essential,715,10.753,11.642
Essential,729,10.753,11.642
Essential,743,8.791,9.68
