Firm,Day,LNP FP,LNP FP adj
TNS,1,36.585,36.686
Galaxy,48,35.0,34.809
F2F Morgan,63,32.5,33.178
Newspoll,228,31.0,32.121
Galaxy,251,37.0,36.809
Newspoll,320,33.0,34.121
Newspoll,332,36.0,37.121
Galaxy,356,37.0,36.809
Newspoll,412,35.0,36.121
Galaxy,468,39.0,38.809
Newspoll,504,32.0,33.121
Galaxy,516,32.0,31.809
Newspoll,594,38.0,39.121
Galaxy,629,42.0,41.809
Galaxy,672,40.0,39.835
Newspoll,686,38.0,39.063
Galaxy,730,42.0,41.981
Newspoll,778,37.0,37.842
Newspoll,856,42.0,42.833
Galaxy,880,43.0,43.112
Galaxy,882,44.0,44.112
Newspoll,887,43.0,43.833
Galaxy,895,43.0,43.112
Newspoll,902,42.1,42.933
