Firm,Day,ALP FP,ALP FP adj
Newspoll,1,43.0,42.439
Newspoll,90,45.0,44.439
Newspoll,182,40.0,39.439
Newspoll,274,41.0,40.439
Newspoll,366,46.0,45.439
Newspoll,381,40.0,39.439
Newspoll,455,40.0,39.439
Newspoll,547,39.0,38.439
Newspoll,639,40.0,39.439
Newspoll,731,41.0,40.439
Newspoll,852,25.0,24.439
Newspoll,960,31.0,30.439
Newspoll,1035,34.0,33.439
Newspoll,1097,38.0,37.439
Newspoll,1186,36.0,35.439
Newspoll,1278,27.0,26.439
Newspoll,1370,28.0,27.439
Newspoll,1393,30.0,29.439
Newspoll,1396,30.4,29.839
