Firm,Day,GRN FP,GRN FP adj
SMS Morgan,1,8.0,6.575
SMS Morgan,28,9.5,8.075
SMS Morgan,57,9.5,8.075
Galaxy,96,9.0,9.043
ReachTEL,97,9.4,9.217
SMS Morgan,98,11.0,9.575
SMS Morgan,126,9.5,8.075
SMS Morgan,168,13.0,11.575
Galaxy,187,10.0,10.043
SMS Morgan,197,12.0,10.575
Newspoll2,198,9.0,9.148
SMS Morgan,240,11.5,10.075
Essential,243,8.0,8.143
Newspoll2,274,8.0,8.148
Essential,274,9.0,9.143
Galaxy,277,9.0,9.043
SMS Morgan,294,10.0,8.575
Essential,304,7.0,7.143
Essential,335,8.0,8.143
SMS Morgan,351,9.0,7.575
Galaxy,362,9.0,9.043
Essential,366,10.0,10.143
Essential,396,8.0,8.143
SMS Morgan,410,12.5,11.075
Galaxy,426,10.0,10.043
Essential,426,9.0,9.143
ReachTEL,437,10.8,10.617
Galaxy,454,9.0,9.043
Essential,456,9.0,9.143
SMS Morgan,466,10.5,9.075
Essential,487,6.0,6.143
Essential,517,7.0,7.143
Essential,548,9.0,9.143
SMS Morgan,553,9.5,8.075
Essential,579,8.0,8.143
SMS Morgan,595,12.0,10.575
Essential,609,9.0,9.143
Galaxy,636,8.0,8.043
Essential,640,10.0,10.143
Essential,670,10.0,10.143
Galaxy,726,8.0,8.043
ReachTEL,726,7.0,6.817
Essential,732,10.0,10.143
Galaxy,803,7.0,7.112
Essential,821,9.0,8.712
ReachTEL,839,9.4,9.23
Essential,882,12.0,11.172
Galaxy,902,7.0,7.321
Newspoll2,913,8.0,7.975
Essential,913,8.0,7.064
Essential,944,10.0,9.064
ReachTEL,957,8.1,7.941
Newspoll2,970,8.0,7.975
Essential,974,10.0,9.064
Galaxy,992,9.0,9.321
Essential,1001,10.0,9.064
ReachTEL,1008,10.0,9.841
Newspoll2,1013,10.0,9.975
Galaxy,1014,9.0,9.321
