Firm,Day,GRN FP,GRN FP adj
Morgan Phone,1,14.0,13.797
Morgan Phone,133,11.5,11.297
Newspoll,244,15.0,13.253
Newspoll,305,15.0,13.253
Newspoll,366,15.0,13.253
Newspoll,428,14.0,12.253
Morgan Phone,480,12.5,12.297
Newspoll,488,17.0,15.253
Morgan Phone,557,15.5,15.297
Newspoll,610,13.0,11.253
Morgan Phone,620,11.0,10.797
Newspoll,671,13.0,11.253
JWS Research,722,9.0,9.154
Essential,725,11.0,11.887
Newspoll,732,16.0,14.253
ReachTEL,787,12.4,12.036
Newspoll,794,15.0,13.253
ReachTEL,815,12.6,12.236
ReachTEL,827,12.3,11.936
Nielsen,829,13.0,12.097
Essential,836,12.0,12.887
Newspoll,853,12.0,10.253
ReachTEL,864,11.5,11.136
Essential,898,10.0,10.887
ReachTEL,914,13.6,13.236
Newspoll,914,12.0,10.253
Newspoll,975,13.0,11.253
Newspoll,1036,14.0,12.253
Essential,1082,13.0,13.887
ReachTEL,1088,11.0,10.636
Nielsen,1089,13.0,12.097
Essential,1111,9.0,9.887
Essential,1142,11.0,11.887
Essential,1173,12.0,12.887
Nielsen,1185,13.0,12.097
Galaxy,1185,12.0,11.756
Newspoll,1185,13.0,11.253
Essential,1201,9.0,9.887
Essential,1232,11.0,11.981
Essential,1262,10.0,11.183
Newspoll,1279,16.0,14.75
Essential,1293,10.0,11.399
Nielsen,1299,14.0,12.861
Essential,1324,10.0,11.601
Nielsen,1327,16.0,14.78
Newspoll,1340,16.0,15.215
Galaxy,1354,12.0,12.283
Essential,1355,11.0,12.695
Essential,1385,11.0,12.695
SMS Morgan,1398,18.0,15.043
Essential,1412,16.5,18.195
Essential,1415,12.0,13.695
Galaxy,1423,13.0,13.283
ReachTEL,1424,13.3,12.892
SMS Morgan,1426,18.5,15.543
Ipsos,1427,17.0,15.508
Newspoll,1429,13.0,12.215
Ipsos,1439,16.0,14.508
SMS Morgan,1442,18.5,15.543
Essential,1444,13.0,14.695
SMS Morgan,1445,19.5,16.543
Galaxy,1450,13.0,13.283
SMS Morgan,1454,17.5,14.543
Galaxy,1456,13.0,13.283
Newspoll,1457,12.0,11.215
Ipsos,1457,15.0,13.508
SMS Morgan,1458,13.5,10.543
ReachTEL,1458,13.5,13.092
