Firm,Day,OTH FP,OTH FP adj
F2F Morgan,1,5.5,6.175
F2F Morgan,32,6.5,7.175
Newspoll,49,8.0,6.129
F2F Morgan,63,7.5,8.175
F2F Morgan,91,7.5,8.175
Newspoll,108,8.0,6.129
F2F Morgan,122,8.0,8.675
F2F Morgan,152,6.5,7.175
Newspoll,169,10.0,8.129
F2F Morgan,183,6.0,6.675
F2F Morgan,213,7.0,7.675
Newspoll,230,11.0,9.129
F2F Morgan,244,7.5,8.175
F2F Morgan,275,8.5,9.175
Newspoll,291,11.0,9.129
F2F Morgan,305,9.0,9.675
F2F Morgan,336,9.5,10.175
Nielsen,347,9.0,9.732
Newspoll,352,12.0,10.129
F2F Morgan,366,6.0,6.675
F2F Morgan,397,6.5,7.175
Newspoll,414,10.0,8.129
F2F Morgan,428,7.0,7.675
F2F Morgan,457,6.0,6.675
Newspoll,474,11.0,9.129
F2F Morgan,488,6.5,7.175
F2F Morgan,518,6.0,6.675
Newspoll,535,10.0,8.129
F2F Morgan,549,8.5,9.175
Nielsen,550,6.0,6.732
F2F Morgan,579,7.0,7.675
Newspoll,596,9.0,7.129
F2F Morgan,610,7.0,7.675
F2F Morgan,641,6.5,7.175
Newspoll,657,9.0,7.129
F2F Morgan,671,5.5,6.175
F2F Morgan,702,6.0,6.675
Newspoll,718,10.0,8.129
F2F Morgan,732,7.5,8.175
F2F Morgan,763,6.5,7.175
Newspoll,780,10.0,8.129
F2F Morgan,794,6.0,6.675
F2F Morgan,822,7.5,8.175
Newspoll,839,11.0,9.129
F2F Morgan,853,9.5,10.175
F2F Morgan,883,8.0,8.675
Newspoll,900,9.0,7.129
F2F Morgan,914,8.5,9.175
F2F Morgan,944,8.5,9.175
Newspoll,961,11.0,9.129
F2F Morgan,975,7.5,8.175
F2F Morgan,1006,10.0,10.675
Newspoll,1022,11.0,9.129
F2F Morgan,1036,8.0,8.675
F2F Morgan,1067,9.0,9.675
Nielsen,1075,7.0,7.732
Newspoll,1083,12.0,10.129
F2F Morgan,1097,8.0,8.675
F2F Morgan,1128,8.5,9.175
Newspoll,1145,11.0,9.129
F2F Morgan,1159,10.0,10.675
F2F Morgan,1187,9.0,9.675
Newspoll,1204,11.0,9.134
F2F Morgan,1218,10.0,10.594
F2F Morgan,1236,5.5,6.013
F2F Morgan,1250,9.0,9.45
Nielsen,1256,7.0,7.587
Newspoll,1265,14.0,12.213
F2F Morgan,1279,8.5,8.814
F2F Morgan,1309,8.0,8.179
Newspoll,1326,8.0,6.281
F2F Morgan,1340,7.5,7.634
Nielsen,1344,5.0,5.421
Morgan Phone,1346,5.5,5.915
Morgan Phone,1377,7.0,7.415
Newspoll,1387,11.0,9.281
Galaxy,1407,5.0,5.206
Nielsen,1408,5.0,5.421
Morgan Phone,1411,9.0,9.415
Newspoll,1426,8.0,6.281
McNair,1433,4.03,4.562
Nielsen,1435,7.0,7.421
Morgan Phone,1436,4.5,4.915
Morgan Phone,1439,4.5,4.915
Galaxy,1439,7.0,7.206
Newspoll,1440,9.0,7.281
Nielsen,1440,8.0,8.421
