Firm,Day,LNP FP,LNP FP adj
Newspoll,1,48.0,48.409
Newspoll,93,49.0,49.409
F2F Morgan,139,49.5,50.004
Newspoll,183,52.0,52.409
F2F Morgan,188,50.0,50.504
Newspoll,275,49.0,49.409
Newspoll,367,46.0,46.409
Newspoll,459,41.0,41.409
Newspoll,548,41.0,41.409
Newspoll,640,41.0,41.409
Newspoll,732,38.0,38.391
Newspoll,824,39.0,39.34
Morgan Phone,864,37.0,38.061
Newspoll,913,39.0,39.34
Newspoll,928,34.0,34.34
Morgan Phone,936,30.0,31.061
Morgan Phone,940,32.0,33.061
Newspoll,940,33.0,33.34
Nielsen,940,29.0,30.115
