Firm,Day,OTH FP,OTH FP adj
Galaxy,1,13.0,13.674
Morgan Phone,19,10.0,10.531
ReachTEL,42,12.2,11.709
Morgan Phone,55,10.0,10.531
Morgan Phone,82,14.0,14.531
Newspoll,86,13.0,10.888
ReachTEL,85,15.0,14.509
Galaxy,95,13.0,13.674
ReachTEL,116,13.6,13.109
ReachTEL,146,17.4,16.909
Newspoll,178,19.0,16.888
ReachTEL,186,14.3,13.809
Galaxy,186,14.884,15.558
Essential,194,16.0,16.235
ReachTEL,207,17.8,17.309
ReachTEL,242,14.2,13.709
Newspoll,270,18.0,15.888
ReachTEL,277,15.1,14.609
Galaxy,277,15.279,15.952
Essential,298,16.0,16.235
ReachTEL,305,14.0,13.509
ReachTEL,333,18.1,17.609
Newspoll,359,17.0,14.888
Galaxy,366,16.0,16.674
ReachTEL,366,18.2,17.709
ReachTEL,415,14.6,14.109
Galaxy,445,12.0,12.674
Galaxy,542,14.0,14.674
Newspoll,543,20.0,17.888
Essential,543,15.0,15.235
Essential,573,18.0,18.235
Essential,604,16.0,16.235
Galaxy,629,15.0,15.674
Newspoll,635,16.0,13.888
Essential,635,13.0,13.235
Essential,663,18.0,18.235
ReachTEL,681,18.5,18.009
Essential,694,18.0,18.235
Newspoll,724,26.0,23.888
Essential,724,19.0,19.235
Galaxy,732,15.0,15.674
ReachTEL,745,19.9,19.416
Essential,756,18.0,18.197
ReachTEL,773,20.8,20.418
Essential,786,16.0,16.101
ReachTEL,792,21.7,21.384
ReachTEL,808,18.0,17.742
Galaxy,814,18.0,18.426
Newspoll,816,19.0,17.754
Essential,817,17.0,16.998
ReachTEL,836,16.8,16.645
Essential,848,16.0,15.902
SMS Morgan,860,13.5,14.36
ReachTEL,872,16.5,16.447
Essential,878,18.0,17.851
SMS Morgan,888,13.5,14.379
Newspoll,908,17.0,16.332
Galaxy,912,16.0,16.249
SMS Morgan,916,15.0,15.879
ReachTEL,921,15.6,15.547
Essential,930,15.0,14.851
ReachTEL,960,14.0,13.947
Newspoll,962,14.0,13.332
Galaxy,962,13.0,13.249
SMS Morgan,971,13.5,14.379
Essential,972,16.0,15.851
ReachTEL,974,12.9,12.847
Newspoll,982,16.0,15.332
Galaxy,982,14.0,14.249
ReachTEL,983,13.8,13.747
