Firm,Day,OTH FP,OTH FP adj
Morgan multi-mode,19,16.0,16.422
Morgan multi-mode,26,16.0,16.422
Newspoll2,69,18.0,17.913
Morgan multi-mode,82,13.269,13.69
Morgan multi-mode,89,12.931,13.353
ResolvePM,90,18.0,16.75
Morgan multi-mode,96,13.877,14.299
Morgan multi-mode,103,15.401,15.823
Newspoll2,105,19.0,18.913
Morgan multi-mode,110,14.058,14.479
Morgan multi-mode,117,15.18,15.602
ResolvePM,120,19.0,17.75
Morgan multi-mode,124,15.303,15.724
Morgan multi-mode,131,14.03,14.451
Morgan multi-mode,138,15.026,15.448
ResolvePM,141,19.0,17.75
Morgan multi-mode,145,14.644,15.066
Morgan multi-mode,152,15.0,15.422
Morgan multi-mode,159,12.872,13.294
Newspoll2,161,16.0,15.913
ResolvePM,160,16.0,14.75
Morgan multi-mode,162,13.0,13.422
Morgan multi-mode,166,13.246,13.668
Morgan multi-mode,173,13.961,14.383
Morgan multi-mode,180,14.61,15.032
Morgan multi-mode,187,14.141,14.563
Essential,189,18.0,18.325
Morgan multi-mode,194,16.741,17.163
Newspoll2,195,15.0,14.913
ResolvePM,195,17.0,15.75
Essential,202,17.895,18.22
Morgan multi-mode,203,17.047,17.468
Freshwater,210,14.0,16.687
Morgan multi-mode,233,16.882,17.303
Essential,244,16.842,17.168
ResolvePM,246,16.0,14.75
Morgan multi-mode,247,17.628,18.049
Newspoll2,259,17.0,16.913
Essential,259,15.789,16.115
Morgan multi-mode,257,17.035,17.457
Morgan multi-mode,264,16.975,17.397
Morgan multi-mode,271,17.01,17.431
ResolvePM,272,17.0,15.75
Essential,272,18.085,18.411
Morgan multi-mode,278,15.26,15.681
Morgan multi-mode,285,17.115,17.537
Essential,286,18.28,18.605
Newspoll2,287,18.0,17.913
Morgan multi-mode,292,16.541,16.962
Morgan multi-mode,299,17.57,17.992
Essential,300,16.842,17.168
ResolvePM,300,17.0,15.75
Morgan multi-mode,306,19.411,19.833
Newspoll2,314,19.0,18.913
Morgan multi-mode,313,17.938,18.359
Essential,314,18.947,19.273
Morgan multi-mode,320,17.41,17.832
Morgan multi-mode,327,17.985,18.406
Essential,328,18.557,18.882
ResolvePM,328,18.0,16.75
Newspoll2,335,18.0,17.913
Morgan multi-mode,334,17.241,17.663
Essential,342,15.957,16.283
Morgan multi-mode,341,15.889,16.31
Morgan multi-mode,348,17.003,17.425
Newspoll2,356,17.0,16.913
Essential,356,14.894,15.219
ResolvePM,356,17.0,15.75
Morgan multi-mode,355,17.46,17.882
Freshwater,360,17.0,19.687
Morgan multi-mode,362,18.378,18.8
Essential,370,15.789,16.115
Morgan multi-mode,369,18.172,18.594
Newspoll2,377,16.0,15.913
Morgan multi-mode,376,17.596,18.017
Essential,384,15.789,16.115
ResolvePM,384,18.0,16.75
Morgan multi-mode,383,18.5,18.922
Morgan multi-mode,390,16.5,16.922
Newspoll2,398,16.0,15.913
Essential,398,18.28,18.605
Morgan multi-mode,397,17.5,17.922
Essential,412,17.895,18.22
Morgan multi-mode,411,18.0,18.422
Newspoll2,419,18.0,17.913
ResolvePM,419,18.0,16.75
Morgan multi-mode,418,17.0,17.422
Essential,426,18.085,18.411
Morgan multi-mode,425,16.5,16.922
Morgan multi-mode,432,18.5,18.922
Essential,440,19.355,19.68
Morgan multi-mode,439,18.5,18.922
ResolvePM,447,19.0,17.75
Morgan multi-mode,446,18.0,18.422
Redbridge,448,21.0,21.849
Essential,454,15.789,16.115
Morgan multi-mode,453,17.0,17.422
Morgan multi-mode,460,21.5,21.922
Newspoll,468,15.0,16.232
Essential,468,17.021,17.347
Morgan multi-mode,467,16.0,16.422
Redbridge,469,14.0,14.849
ResolvePM,475,18.0,16.75
Morgan multi-mode,474,17.5,17.922
Essential,482,19.149,19.474
Newspoll,490,17.0,18.232
Freshwater,490,17.0,19.687
Morgan multi-mode,482,18.0,18.422
Morgan multi-mode,489,18.5,18.922
Essential,496,15.957,16.283
Morgan multi-mode,495,17.0,17.422
YouGov2,494,19.0,19.53
Newspoll2,503,18.0,17.913
ResolvePM,495,20.0,18.75
Morgan multi-mode,502,19.5,19.922
YouGov2,505,17.0,17.53
Newspoll,505,17.0,18.232
Morgan multi-mode,509,17.0,17.422
Morgan multi-mode,516,18.0,18.422
Essential,524,20.0,20.325
Morgan multi-mode,523,17.5,17.922
Redbridge,527,17.0,17.849
Newspoll,529,16.0,17.232
Morgan multi-mode,530,20.0,20.422
ResolvePM,531,22.0,20.75
Essential,538,17.895,18.22
Morgan multi-mode,537,20.5,20.922
YouGov2,540,20.0,20.53
Morgan multi-mode,544,19.5,19.922
Newspoll,550,18.0,19.232
Essential,552,17.021,17.347
Morgan multi-mode,551,19.5,19.922
ResolvePM,559,18.0,16.75
Morgan multi-mode,558,17.5,17.922
YouGov2,561,19.0,19.53
Morgan multi-mode,565,18.5,18.922
Essential,566,17.895,18.22
Newspoll,571,18.0,19.232
Freshwater,571,16.0,18.687
Redbridge,567,19.0,19.849
Morgan multi-mode,572,18.5,18.922
Morgan multi-mode,594,19.0,19.422
Freshwater,599,15.0,17.687
Morgan multi-mode,601,19.5,19.922
YouGov2,604,18.0,18.53
Morgan multi-mode,608,18.0,18.422
Morgan multi-mode,615,18.5,18.922
Essential,615,16.842,17.168
Newspoll,622,18.0,19.232
Morgan multi-mode,622,18.0,18.422
YouGov2,625,18.0,18.53
Redbridge,623,16.0,16.849
Morgan multi-mode,629,16.5,16.922
Essential,629,17.708,18.034
Freshwater,637,17.0,19.687
Morgan multi-mode,636,16.0,16.422
ResolvePM,643,20.0,18.75
Newspoll,643,19.0,20.232
Morgan multi-mode,643,18.5,18.922
Essential,643,17.895,18.22
Morgan multi-mode,650,16.0,16.422
YouGov2,651,16.0,16.53
Freshwater,658,16.0,18.687
Morgan multi-mode,657,17.0,17.422
Essential,657,18.75,19.075
Morgan multi-mode,664,19.0,19.422
Newspoll,671,18.0,19.232
Morgan multi-mode,671,16.5,16.922
ResolvePM,671,20.0,18.75
Essential,671,18.28,18.605
YouGov2,674,17.0,17.53
Morgan multi-mode,678,17.0,17.422
Morgan multi-mode,685,19.0,19.422
Essential,685,17.204,17.53
Freshwater,693,16.0,18.687
Morgan multi-mode,692,18.0,18.422
ResolvePM,699,21.0,19.75
Newspoll,699,17.0,18.232
Morgan multi-mode,698,18.0,18.422
Essential,698,19.792,20.117
YouGov2,701,18.0,18.53
Redbridge,697,18.0,18.849
Morgan multi-mode,705,18.0,18.422
Morgan multi-mode,712,20.0,20.422
Essential,712,16.129,16.454
Morgan multi-mode,719,17.5,17.922
YouGov2,722,19.0,19.53
ResolvePM,727,23.0,21.75
Newspoll,727,16.0,17.232
Freshwater,728,14.0,16.687
Morgan multi-mode,726,18.0,18.422
Essential,726,18.478,18.804
Morgan multi-mode,733,19.5,19.922
Morgan multi-mode,740,18.0,18.422
Essential,740,16.495,16.82
YouGov2,743,18.0,18.53
Newspoll,748,17.0,18.232
Morgan multi-mode,747,19.0,19.422
ResolvePM,755,22.0,20.75
Freshwater,756,15.0,17.687
Morgan multi-mode,754,19.0,19.422
Essential,754,19.149,19.474
Morgan multi-mode,761,18.5,18.922
Newspoll,769,20.0,21.232
Morgan multi-mode,768,19.0,19.422
Essential,768,19.355,19.68
Morgan multi-mode,775,18.5,18.922
Morgan multi-mode,782,19.0,19.422
ResolvePM,783,20.0,18.75
Essential,782,21.053,21.378
Freshwater,791,16.0,18.687
Newspoll,790,16.0,17.232
Morgan multi-mode,789,16.0,16.422
YouGov2,786,18.0,18.53
Redbridge,786,16.0,16.849
Morgan multi-mode,796,19.0,19.422
Essential,796,18.947,19.273
Morgan multi-mode,803,20.5,20.922
ResolvePM,811,22.0,20.75
Newspoll,811,17.0,18.232
Morgan multi-mode,810,18.5,18.922
Essential,810,18.28,18.605
Freshwater,818,15.0,17.687
Morgan multi-mode,817,17.5,17.922
Morgan multi-mode,824,18.0,18.422
Essential,824,20.213,20.538
YouGov2,828,18.0,18.53
Newspoll,832,18.0,19.232
Morgan multi-mode,831,20.5,20.922
Redbridge,826,17.0,17.849
Wolf+Smith,820,21.0,20.986
ResolvePM,839,22.0,20.737
Morgan multi-mode,838,19.0,19.429
Essential,838,17.895,18.221
Freshwater,847,15.0,17.752
Morgan multi-mode,845,19.5,19.96
YouGov2,849,17.0,17.419
Newspoll,853,18.0,19.261
Morgan multi-mode,852,18.0,18.483
Essential,852,20.0,20.333
Morgan multi-mode,859,18.5,19.014
Morgan multi-mode,866,18.5,19.037
ResolvePM,867,20.0,18.641
Essential,866,18.75,19.09
Newspoll,874,19.0,20.292
Morgan multi-mode,873,18.0,18.568
Freshwater,882,16.0,18.934
Morgan multi-mode,880,18.0,18.591
Essential,880,19.355,19.702
Morgan multi-mode,887,18.5,19.122
Morgan multi-mode,894,17.5,18.145
Essential,894,19.792,20.145
ResolvePM,902,20.0,18.526
Newspoll,902,16.0,17.337
Morgan multi-mode,901,19.5,20.175
Freshwater,910,16.0,19.084
Morgan multi-mode,908,18.5,19.199
Essential,908,17.895,18.255
Redbridge,904,19.0,19.764
Morgan multi-mode,915,19.0,19.729
DemosAU,914,18.0,17.825
YouGov2,912,19.0,18.924
Morgan multi-mode,922,19.0,19.752
Essential,922,18.75,19.117
ResolvePM,930,23.0,21.43
Newspoll,930,17.0,18.381
Morgan multi-mode,929,18.0,18.783
Freshwater,938,16.0,19.234
Morgan multi-mode,936,19.0,19.806
Essential,936,18.75,19.124
Morgan multi-mode,957,16.5,17.383
Morgan multi-mode,964,17.0,17.883
YouGov2,967,17.0,16.572
Freshwater,973,15.0,18.33
Morgan multi-mode,971,16.5,17.383
Essential,971,16.842,17.226
ResolvePM,972,23.0,21.342
Newspoll,977,18.0,19.422
Morgan multi-mode,978,18.5,19.383
Morgan multi-mode,985,20.0,20.883
Essential,985,18.75,19.134
DemosAU,985,17.0,16.605
Morgan multi-mode,992,19.5,20.383
Redbridge,992,18.0,18.699
YouGov2,988,20.8,20.372
Newspoll,1000,19.0,20.422
Morgan multi-mode,999,20.0,20.883
Essential,999,19.792,20.176
ResolvePM,1007,22.0,20.342
Freshwater,1008,15.0,18.33
Morgan multi-mode,1006,18.5,19.383
YouGov2,1010,21.0,20.572
Morgan multi-mode,1013,18.0,18.883
Essential,1013,19.792,20.176
YouGov2,1017,20.0,19.572
Newspoll,1019,17.0,18.422
Morgan multi-mode,1020,19.5,20.383
YouGov2,1024,19.5,19.072
Freshwater,1028,16.0,19.33
Morgan multi-mode,1027,20.0,20.883
Essential,1027,19.149,19.533
Redbridge,1029,19.0,19.699
YouGov2,1031,19.0,18.572
Morgan multi-mode,1034,18.5,19.383
Redbridge,1033,19.0,19.699
YouGov2,1027,21.5,21.072
Newspoll,1041,18.0,19.422
ResolvePM,1042,21.0,19.342
Freshwater,1043,17.0,20.33
Morgan multi-mode,1041,20.0,20.883
Essential,1041,20.0,20.384
YouGov2,1045,22.0,21.572
Redbridge,1034,19.0,19.699
Newspoll,1047,19.0,20.422
Morgan multi-mode,1048,21.0,21.883
YouGov2,1052,21.5,21.072
Newspoll,1054,20.0,21.422
Morgan multi-mode,1055,20.0,20.883
ResolvePM,1056,23.0,21.342
Essential,1055,20.833,21.217
Freshwater,1060,17.0,20.33
YouGov2,1058,20.0,19.572
Redbridge,1018,19.0,19.699
Newspoll,1061,19.0,20.422
Morgan multi-mode,1062,17.0,17.883
YouGov2,1065,21.5,21.072
Newspoll,1068,20.0,21.422
DemosAU,1068,26.0,25.605
Morgan multi-mode,1069,18.5,19.383
Essential,1069,21.0,21.384
ResolvePM,1070,20.0,20.548
Spectre,1071,21.0,21.422
Redbridge,1071,20.0,20.699
YouGov2,1060,24.8,24.372
DemosAU,1073,27.0,26.605
Freshwater,1075,18.0,21.33
DemosAU,1074,24.0,23.605
Newspoll,1075,20.0,21.422
Morgan multi-mode,1075,19.0,19.883
YouGov2,1073,22.9,22.472
Ipsos,1074,22.917,23.261
