Firm,Day,OTH FP,OTH FP adj
Newspoll,1,13.0,12.5
Nielsen,17,9.0,9.789
Newspoll,61,13.0,12.5
Newspoll,122,14.0,13.5
Taverner,147,12.245,12.774
Newspoll,183,14.0,13.5
Newspoll,244,18.0,17.5
Newspoll,305,17.0,16.5
Newspoll,367,13.0,12.5
Newspoll,426,14.0,13.5
Newspoll,487,14.0,13.5
Newspoll,548,13.0,12.5
Newspoll,609,16.0,15.5
Nielsen,662,12.775,13.564
Newspoll,670,13.0,12.5
Galaxy,714,13.0,12.829
Newspoll,732,14.0,13.5
Morgan Phone,754,11.5,12.475
Galaxy,784,15.635,15.464
Newspoll,791,13.0,12.5
Newspoll,852,13.0,12.5
Morgan Phone,857,10.5,11.475
Newspoll,913,15.0,14.502
Essential,974,10.0,11.811
Newspoll,974,14.0,13.523
Morgan Phone,1017,11.5,12.346
Newspoll,1058,16.0,15.541
Galaxy,1085,14.0,14.075
Essential,1097,11.0,13.206
Newspoll,1097,14.0,13.541
Essential,1106,10.0,12.206
Nielsen,1110,12.0,12.483
Galaxy,1126,13.0,13.075
Newspoll,1133,13.0,12.541
Essential,1141,11.0,13.206
Newspoll,1147,15.0,14.541
Galaxy,1147,15.0,15.075
Nielsen,1147,15.0,15.483
