Firm,Day,OTH FP,OTH FP adj
F2F Morgan,1,17.0,17.925
F2F Morgan,62,15.0,15.925
Newspoll,76,17.0,17.47
Advertiser,107,14.737,14.442
F2F Morgan,154,13.0,13.925
Newspoll,168,14.0,14.47
F2F Morgan,215,14.0,14.925
Newspoll,260,15.0,15.47
Advertiser,265,11.828,11.533
F2F Morgan,276,12.5,13.425
F2F Morgan,338,14.0,14.925
Advertiser,349,11.702,11.407
Newspoll,352,14.0,14.47
F2F Morgan,397,12.5,13.425
Newspoll,441,12.0,12.47
F2F Morgan,458,11.5,12.425
Advertiser,496,10.87,10.575
F2F Morgan,519,16.0,16.925
Newspoll,533,15.0,15.47
F2F Morgan,580,16.0,16.925
Advertiser,594,18.478,18.183
Newspoll,625,15.0,15.47
F2F Morgan,641,14.0,14.925
F2F Morgan,703,10.5,11.425
Newspoll,717,13.0,13.47
Advertiser,748,11.828,11.533
F2F Morgan,763,10.5,11.425
Newspoll,807,10.0,10.47
F2F Morgan,824,12.0,12.925
F2F Morgan,885,8.0,8.925
Newspoll,899,13.0,13.47
F2F Morgan,946,10.0,10.925
Newspoll,991,10.0,10.47
F2F Morgan,1007,9.5,10.425
Advertiser,1016,11.458,11.164
F2F Morgan,1069,11.0,11.925
Advertiser,1083,18.0,17.705
Newspoll,1083,9.0,9.47
Advertiser,1112,17.0,16.705
F2F Morgan,1128,14.0,14.925
Newspoll,1172,11.0,11.47
F2F Morgan,1189,9.0,9.925
F2F Morgan,1250,11.5,12.427
Newspoll,1264,12.0,12.475
F2F Morgan,1311,12.5,13.438
Advertiser,1315,20.0,19.642
Advertiser,1341,20.0,19.621
Newspoll,1356,13.0,13.492
F2F Morgan,1372,15.0,15.947
Advertiser,1376,20.0,19.608
Advertiser,1413,11.765,11.372
F2F Morgan,1417,12.0,12.947
Newspoll,1434,15.0,15.493
F2F Morgan,1448,14.0,14.947
Advertiser,1449,11.2,10.808
F2F Morgan,1462,11.0,11.947
Advertiser,1469,14.8,14.408
Advertiser,1476,18.2,17.808
Newspoll,1477,15.5,15.993
