Firm,Day,GRN FP,GRN FP adj
ResolvePM,1,13.0,13.044
ResolvePM,60,10.0,10.044
SMS Morgan,109,12.5,12.532
ResolvePM,121,15.0,15.044
SMS Morgan,170,12.5,12.532
ResolvePM,182,13.0,13.044
Redbridge,227,13.0,13.016
ResolvePM,243,12.0,12.044
ResolvePM,304,11.0,11.044
Redbridge,318,13.0,13.016
Redbridge,411,10.0,10.016
ResolvePM,402,13.0,13.044
ResolvePM,458,13.0,13.044
Redbridge,426,14.0,14.016
ResolvePM,514,15.0,15.044
Redbridge,544,12.0,12.016
Wolf&Smith,565,14.0,13.662
ResolvePM,567,14.0,14.044
Redbridge,608,12.0,12.016
Redbridge,663,14.0,14.016
ResolvePM,715,13.0,13.044
DemosAU,778,15.0,13.781
ResolvePM,760,14.0,14.044
Redbridge,791,13.0,13.016
Newspoll3,878,12.0,11.91
Redbridge,876,14.0,14.016
ResolvePM,913,12.0,12.044
Redbridge,953,13.0,13.016
DemosAU,949,15.0,13.781
ResolvePM,944,12.0,12.044
DemosAU,997,15.0,13.781
Newspoll3,1023,14.0,13.91
Freshwater,1027,15.0,14.42
ResolvePM,1005,12.0,12.044
Redbridge,1035,12.0,12.016
DemosAU,1102,15.0,13.907
ResolvePM,1093,12.0,12.268
SMS Morgan,1111,13.5,13.329
Freshwater,1117,13.0,12.288
Redbridge,1119,13.0,12.78
Freshwater,1145,14.0,13.234
ResolvePM,1155,10.0,10.584
SMS Morgan,1178,13.5,13.139
Freshwater,1223,14.0,13.187
DemosAU,1225,15.0,14.073
ResolvePM,1217,12.0,12.656
Redbridge,1239,13.0,12.612
ResolvePM,1252,12.0,12.656
Newspoll3,1271,13.0,12.744
Redbridge,1276,14.0,13.612
Freshwater,1279,14.0,13.187
SMS Morgan,1283,12.5,12.139
YouGov2,1244,13.0,12.745
DemosAU,1285,13.0,12.073
ResolvePM,1289,12.0,12.656
