Firm,Day,ONP FP,ONP FP adj
Essential,1,5.0,4.925514646564889
Essential,93,8.0,7.925514646564889
Essential,550,7.0,6.925514646564889
Painted Dog,1097,7.0,6.975567272679978
ReachTEL,1375,6.9,6.626500883233561
Newspoll2,1375,3.0,3.0000202684767685
Newspoll2,1394,2.0,2.0000202684767685
