Firm,Day,ALP TPP,ALP TPP adj
F2F Morgan,1,61.381499999999996,55.91373957529959
F2F Morgan,62,64.4775,59.0097395752996
F2F Morgan,123,62.9865,57.51873957529959
F2F Morgan,184,60.64,55.17223957529959
Newspoll,229,51.17,51.1700221248742
F2F Morgan,245,57.44,51.97223957529959
F2F Morgan,307,59.1115,53.64373957529959
Newspoll,321,54.902,54.9020221248742
F2F Morgan,366,60.718999999999994,55.251239575299586
Newspoll,410,55.17,55.1700221248742
F2F Morgan,427,57.949,52.48123957529959
Newspoll,488,49.054,49.0540221248742
F2F Morgan,488,60.7955,55.32773957529959
Newspoll,519,49.978,49.9780221248742
F2F Morgan,549,56.9775,51.50973957529959
Newspoll,594,48.612,48.6120221248742
F2F Morgan,610,57.478,52.01023957529959
F2F Morgan,672,57.507,52.03923957529959
Newspoll,687,49.42,49.4200221248742
F2F Morgan,731,57.7575,52.28973957529959
Newspoll,775,51.304,51.3040221248742
F2F Morgan,792,57.8915,52.42373957529959
Newspoll,853,53.246,53.2460221248742
F2F Morgan,853,56.267,50.799239575299595
Newspoll,879,58.036,58.0360221248742
Newspoll,890,55.652,55.6520221248742
Galaxy,890,55.79621553147781,55.81937975246571
Morgan Phone,890,54.9995,55.112112599391175
