Firm,Day,DEM FP,DEM FP adj
F2F Morgan,320,6.5,6.673
Newspoll,1,5.0,2.21
Newspoll,62,9.0,6.21
Newspoll,123,6.0,3.21
Newspoll,185,9.0,6.21
Newspoll,245,11.0,8.21
Newspoll,306,9.0,6.21
Newspoll,367,11.0,8.21
Newspoll,428,11.0,8.21
Newspoll,489,11.0,8.21
Newspoll,551,10.0,7.21
Newspoll,610,10.0,7.21
Newspoll,671,10.0,7.21
Newspoll,732,12.0,9.21
Newspoll,793,10.0,7.21
Newspoll,854,11.0,8.21
Morgan Phone,941,3.5,3.772
Morgan Phone,997,4.5,4.772
Nielsen,1041,4.0,3.546
F2F Morgan,1080,3.5,3.673
F2F Morgan,1111,3.0,3.08
Nielsen,1097,5.0,4.542
F2F Morgan,1143,3.5,3.396
Newspoll,1158,4.0,2.837
F2F Morgan,1171,6.0,5.735
F2F Morgan,1203,6.0,5.55
Newspoll,1206,4.0,4.096
F2F Morgan,1231,4.0,3.481
Newspoll,1232,4.0,4.359
F2F Morgan,1269,5.0,4.481
Newspoll,1281,3.0,3.359
F2F Morgan,1290,4.0,3.481
F2F Morgan,1304,4.0,3.481
Newspoll,1321,2.5,2.859
Nielsen,1324,5.0,4.312
Morgan Phone,1329,4.0,3.976
Nielsen,1331,5.0,4.312
Morgan Phone,1333,3.5,3.476
Newspoll,1333,4.0,4.359
Morgan Phone,1335,5.0,4.976
