Firm,Day,UAP FP,UAP FP adj
ReachTEL,1040,2.0,2.032
ReachTEL,1062,1.7,1.732
ReachTEL,1078,1.8,1.832
ReachTEL,1084,1.7,1.732
ReachTEL,1101,2.4,2.432
Morgan multi-mode,1103,4.0,3.888
Essential,1104,4.0,4.086
Morgan multi-mode,1106,4.0,3.888
ReachTEL,1108,4.4,4.432
Galaxy,1108,5.0,4.957
Essential,1108,4.0,4.086
ReachTEL,1109,6.1,6.132
ReachTEL,1110,7.0,7.032
Morgan multi-mode,1110,6.5,6.388
