Firm,Day,FF FP,FF FP adj
F2F Morgan,1,4.0,3.943
F2F Morgan,62,4.0,3.943
Advertiser,108,3.158,2.842
F2F Morgan,123,4.0,3.943
F2F Morgan,184,3.5,3.443
Newspoll,229,3.0,4.336
F2F Morgan,245,4.0,3.943
Newspoll,321,2.0,3.336
Newspoll,410,2.0,3.336
Newspoll,502,2.0,3.336
Newspoll,594,3.0,4.336
Newspoll,686,1.0,2.336
Newspoll,776,2.0,3.336
Newspoll,868,1.0,2.336
Advertiser,901,5.556,5.24
Newspoll,960,1.0,2.336
Newspoll,1052,1.0,2.336
Advertiser,1083,2.326,2.01
Newspoll,1219,1.0,2.334
Advertiser,1265,3.448,3.103
Advertiser,1293,4.545,4.187
Newspoll,1325,1.0,2.315
Advertiser,1348,2.247,1.871
Newspoll,1403,1.0,2.315
Advertiser,1405,5.263,4.887
Galaxy,1442,6.0,5.821
Newspoll,1448,3.2,4.515
