Firm,Day,OTH FP,OTH FP adj
Morgan Phone,1,9.0,8.781
Morgan Phone,31,9.5,9.281
Morgan Phone,62,11.0,10.781
AGB McNair,69,8.775,8.672
Newspoll,109,7.518,9.506
Newspoll,170,7.289,9.278
Newspoll,231,8.186,10.175
Newspoll,293,9.188,11.177
Newspoll,352,9.14,11.129
Newspoll,413,7.147,9.136
Newspoll,474,6.163,8.152
Quadrant,514,7.174,7.679
Newspoll,535,9.223,11.211
Newspoll,596,8.276,10.265
Taverner,613,5.283,6.229
Newspoll,658,8.402,10.39
Newspoll,717,10.472,12.461
Newspoll,778,11.817,13.806
Nielsen,797,11.989,11.848
F2F Morgan,822,14.0,14.055
Newspoll,839,12.228,14.217
Nielsen,839,14.0,13.859
F2F Morgan,854,12.0,12.055
F2F Morgan,885,9.5,9.555
Newspoll,900,7.04,9.028
F2F Morgan,913,9.5,9.555
F2F Morgan,945,10.5,10.555
Newspoll,961,9.596,11.585
F2F Morgan,973,9.5,9.555
F2F Morgan,1011,12.5,12.555
Newspoll,1023,6.687,8.595
F2F Morgan,1039,10.0,9.913
Nielsen,1050,10.294,10.183
F2F Morgan,1060,11.0,10.811
F2F Morgan,1078,8.0,7.72
Newspoll,1082,5.8,7.317
F2F Morgan,1099,10.0,9.609
Nielsen,1101,9.798,9.727
F2F Morgan,1126,10.5,9.977
Newspoll,1143,6.794,7.974
F2F Morgan,1158,9.0,8.446
Nielsen,1167,7.811,7.764
F2F Morgan,1186,9.5,8.946
Newspoll,1204,7.981,9.161
F2F Morgan,1214,10.5,9.946
Nielsen,1217,10.186,10.139
Quadrant,1228,4.905,5.426
Nielsen,1230,5.891,5.844
Morgan Phone,1239,8.5,8.786
Nielsen,1249,7.617,7.57
Newspoll,1250,5.617,6.797
Morgan Phone,1250,4.617,4.903
Morgan Phone,1252,4.662,4.948
