Firm,Day,NAT FP,NAT FP adj
Westpoll,60,4.0,4.658
Westpoll,128,4.0,4.658
Newspoll,159,5.0,4.532
Westpoll,176,4.0,4.658
Westpoll,273,4.0,4.658
Westpoll,340,3.0,3.658
Westpoll,401,4.0,4.658
Westpoll,500,3.0,3.658
Newspoll,524,5.0,4.532
Newspoll,614,6.0,5.532
Newspoll,706,6.0,5.532
Newspoll,797,6.0,5.532
Newspoll,889,6.0,5.532
Newspoll,978,6.0,5.532
Newspoll,1071,6.0,5.532
Newspoll,1163,4.0,3.532
Westpoll,1228,2.0,2.658
Newspoll,1254,6.0,5.532
Morgan Phone,1331,3.5,3.636
Westpoll,1401,2.0,2.653
Morgan Phone,1418,3.5,3.629
Newspoll,1437,5.0,4.629
Newspoll,1529,6.0,5.837
Westpoll,1591,5.0,5.381
Newspoll,1611,6.0,5.837
Galaxy,1625,7.0,6.918
Newspoll,1639,6.0,5.837
