Firm,Day,GRN FP,GRN FP adj
SMS Morgan,1,10.0,10.575
Morgan Phone,4,13.0,13.069
F2F Morgan,10,15.0,14.559
Essential,14,10.0,11.018
SMS Morgan,18,10.5,11.075
Newspoll,20,14.0,13.211
Morgan Phone,25,15.0,15.069
F2F Morgan,28,13.0,12.559
Essential,28,9.0,10.018
F2F Morgan,42,12.0,11.559
Essential,42,8.0,9.018
Newspoll,48,14.0,13.211
F2F Morgan,52,10.5,10.059
Essential,56,8.0,9.018
Nielsen,61,14.0,13.134
Newspoll,62,14.0,13.211
F2F Morgan,66,12.0,11.559
Essential,70,8.0,9.018
F2F Morgan,97,10.5,10.059
Newspoll,76,13.0,12.211
F2F Morgan,80,12.0,11.559
Essential,84,10.0,11.018
Nielsen,89,13.0,12.134
Newspoll,90,14.0,13.211
F2F Morgan,94,12.0,11.559
Essential,98,11.0,12.018
Newspoll,104,14.0,13.211
F2F Morgan,105,13.5,13.059
Morgan Phone,110,13.5,13.569
F2F Morgan,112,13.5,13.059
Essential,112,10.0,11.018
F2F Morgan,140,13.0,12.559
Essential,149,11.0,12.018
F2F Morgan,150,11.5,11.059
Essential,163,10.0,11.018
Morgan Phone,164,12.0,12.069
F2F Morgan,166,12.5,12.059
Newspoll,167,14.0,13.211
Nielsen,173,12.0,11.134
Essential,177,11.0,12.018
F2F Morgan,178,11.5,11.059
Newspoll,181,13.0,12.211
Morgan Phone,184,9.5,9.569
F2F Morgan,189,11.5,11.059
Essential,191,10.0,11.018
Newspoll,195,15.0,14.211
F2F Morgan,196,9.5,9.059
Morgan Phone,199,10.0,10.069
Nielsen,201,12.0,11.134
F2F Morgan,203,11.5,11.059
Essential,205,10.0,11.018
Morgan Phone,207,12.0,12.069
Newspoll,209,12.0,11.211
F2F Morgan,210,12.5,12.059
Morgan Phone,213,10.0,10.069
F2F Morgan,217,11.5,11.059
Essential,219,10.0,11.018
Newspoll,223,12.0,11.211
F2F Morgan,224,9.5,9.059
Essential,233,11.0,12.018
Nielsen,236,12.0,11.134
F2F Morgan,234,11.5,11.059
Essential,247,9.0,10.018
F2F Morgan,248,10.5,10.059
Newspoll,251,12.0,11.211
Morgan Phone,255,11.0,11.069
F2F Morgan,259,11.0,10.559
Essential,261,11.0,12.018
Nielsen,264,10.0,9.134
Newspoll,265,10.0,9.211
F2F Morgan,266,13.0,12.559
Essential,275,12.0,13.018
F2F Morgan,276,12.0,11.559
Newspoll,279,14.0,13.211
Morgan Phone,283,9.5,9.569
F2F Morgan,287,12.0,11.559
Essential,290,12.0,13.018
Newspoll,293,11.0,10.211
Nielsen,297,12.0,11.134
F2F Morgan,297,11.5,11.059
Essential,303,11.0,12.018
Newspoll,307,11.0,10.211
F2F Morgan,301,11.5,11.059
Essential,317,11.0,12.018
Newspoll,321,12.0,11.211
F2F Morgan,322,11.5,11.059
Morgan Phone,326,10.5,10.569
Nielsen,327,11.0,10.134
Essential,331,11.0,12.018
F2F Morgan,332,12.0,11.559
Newspoll,335,13.0,12.211
Essential,345,10.0,11.018
Galaxy,346,13.0,12.113
F2F Morgan,346,12.0,11.559
Newspoll,349,12.0,11.211
Morgan Phone,353,12.0,12.069
Nielsen,355,12.0,11.134
Essential,359,10.0,11.018
F2F Morgan,360,11.0,10.559
Newspoll,363,14.0,13.211
Essential,373,11.0,12.018
F2F Morgan,374,12.5,12.059
Newspoll,377,12.0,11.211
Nielsen,383,13.0,12.134
Essential,387,10.0,11.018
F2F Morgan,388,10.0,9.559
Newspoll,391,13.0,12.211
Essential,401,11.0,12.018
F2F Morgan,402,10.0,9.559
Newspoll,412,12.0,11.211
F2F Morgan,413,11.0,10.559
Essential,415,11.0,12.018
Nielsen,418,12.0,11.134
Galaxy,419,12.0,11.113
F2F Morgan,420,10.0,9.559
Newspoll,426,15.0,14.211
F2F Morgan,427,10.5,10.059
Essential,429,10.0,11.018
Morgan Phone,430,12.5,12.569
F2F Morgan,434,13.5,13.059
Morgan Phone,438,12.5,12.569
Newspoll,440,12.0,11.211
Essential,443,10.0,11.018
Nielsen,446,14.0,13.134
F2F Morgan,444,11.5,11.059
Newspoll,454,10.0,9.211
F2F Morgan,455,12.0,11.559
Essential,457,11.0,12.018
F2F Morgan,465,13.0,12.559
Newspoll,468,13.0,12.211
Nielsen,474,11.0,10.134
Essential,476,9.0,10.018
F2F Morgan,479,13.0,12.559
F2F Morgan,504,10.5,10.059
Essential,512,10.0,11.018
Morgan Phone,514,9.0,9.069
F2F Morgan,514,12.0,11.559
Galaxy,524,12.0,11.113
Newspoll,524,12.0,11.211
F2F Morgan,525,9.5,9.059
Essential,526,11.0,12.018
Nielsen,530,13.0,12.134
F2F Morgan,532,9.5,9.059
Morgan Phone,535,14.5,14.569
Newspoll,538,11.0,10.211
Essential,540,11.0,12.018
F2F Morgan,542,14.5,14.059
Nielsen,550,12.0,11.134
Galaxy,551,12.0,11.113
Newspoll,552,11.0,10.211
F2F Morgan,553,11.0,10.559
Essential,554,10.0,11.018
F2F Morgan,560,10.0,9.559
Newspoll,566,12.0,11.211
Essential,569,11.0,12.018
F2F Morgan,570,10.5,10.059
Newspoll,580,11.0,10.211
F2F Morgan,581,12.5,12.059
Essential,583,11.0,12.018
Nielsen,586,13.0,12.134
F2F Morgan,588,13.0,12.559
Essential,597,11.0,12.018
F2F Morgan,598,12.5,12.059
Newspoll,601,12.0,11.211
Morgan Phone,605,11.5,11.569
F2F Morgan,609,12.0,11.559
Essential,611,11.0,12.018
Galaxy,615,13.0,12.113
Newspoll,615,11.0,10.211
F2F Morgan,623,12.0,11.559
Essential,625,11.0,12.018
Morgan Phone,627,10.0,10.069
Nielsen,627,12.0,11.134
Newspoll,629,12.0,11.211
F2F Morgan,630,12.0,11.559
F2F Morgan,637,10.5,10.059
Essential,639,10.0,11.018
Newspoll,643,12.0,11.211
F2F Morgan,644,13.0,12.559
Nielsen,649,14.0,13.134
F2F Morgan,651,10.5,10.059
Essential,653,10.0,11.018
Newspoll,657,14.0,13.211
F2F Morgan,658,12.5,12.059
Galaxy,664,12.0,11.113
Essential,667,10.0,11.018
F2F Morgan,668,14.5,14.059
Newspoll,671,12.0,11.211
Nielsen,677,12.0,11.134
Essential,681,11.0,12.018
F2F Morgan,682,14.5,14.059
Newspoll,685,11.0,10.211
Essential,695,10.0,11.018
F2F Morgan,696,12.0,11.559
Newspoll,699,11.0,10.211
Nielsen,705,12.0,11.134
Essential,709,10.0,11.018
F2F Morgan,710,11.5,11.059
Newspoll,713,10.0,9.211
Essential,723,10.0,11.018
F2F Morgan,724,10.0,9.559
Newspoll,727,11.0,10.211
Nielsen,733,11.0,10.134
Essential,737,9.0,10.018
F2F Morgan,742,11.5,11.059
Newspoll,741,8.0,7.211
Essential,751,9.0,10.018
Nielsen,754,10.0,9.134
F2F Morgan,752,12.0,11.559
Newspoll,755,12.0,11.211
Morgan Phone,759,8.0,8.069
F2F Morgan,763,10.0,9.559
Essential,765,9.0,10.018
F2F Morgan,773,10.5,10.059
Newspoll,776,10.0,9.211
Essential,779,9.0,10.018
Nielsen,789,11.0,10.134
F2F Morgan,787,12.5,12.059
Essential,793,9.0,10.018
Newspoll,797,10.0,9.211
F2F Morgan,801,10.0,9.559
Galaxy,804,11.0,10.113
Essential,807,9.0,10.018
Newspoll,811,10.0,9.211
Nielsen,817,12.0,11.134
