Firm,Day,OTH FP,OTH FP adj
F2F Morgan,320,11.0,11.22
Newspoll,1,8.701,9.063
Newspoll,62,14.847,15.208
Newspoll,123,12.068,12.43
Newspoll,185,12.386,12.748
Newspoll,245,14.901,15.263
Newspoll,306,11.227,11.589
Newspoll,367,14.146,14.508
Newspoll,428,14.068,14.43
Newspoll,489,16.038,16.399
Newspoll,551,17.009,17.371
Newspoll,610,16.053,16.415
Newspoll,671,18.1,18.462
Newspoll,732,21.009,21.371
Newspoll,793,19.98,20.342
Newspoll,854,16.983,17.344
Newspoll,916,13.876,14.238
Morgan Phone,941,12.0,12.513
Newspoll,975,12.183,12.545
Morgan Phone,997,16.0,16.513
Newspoll,1036,15.306,15.668
Nielsen,1041,19.0,18.578
F2F Morgan,1080,19.0,19.22
Newspoll,1097,18.244,18.618
F2F Morgan,1111,18.5,18.699
Nielsen,1097,21.0,20.581
F2F Morgan,1143,14.5,14.658
Newspoll,1158,14.0,14.739
F2F Morgan,1171,13.5,13.622
F2F Morgan,1203,13.5,13.58
Newspoll,1206,10.0,11.03
F2F Morgan,1231,12.5,12.565
Newspoll,1232,12.0,13.091
F2F Morgan,1269,14.5,14.565
Newspoll,1281,9.0,10.091
F2F Morgan,1290,10.0,10.065
F2F Morgan,1304,12.5,12.565
Newspoll,1321,11.5,12.591
Nielsen,1324,16.0,15.739
Morgan Phone,1329,16.0,16.123
Nielsen,1331,18.0,17.739
Morgan Phone,1333,18.0,18.123
Newspoll,1333,19.5,20.591
Morgan Phone,1335,20.0,20.123
