Firm,Day,ALP FP,ALP FP adj
Advertiser,1,38.947,38.897
Advertiser,103,34.483,34.432
Newspoll,93,38.0,37.362
Newspoll,182,35.0,34.362
Advertiser,229,40.217,40.167
F2F Morgan,262,33.5,32.756
Newspoll,274,43.0,42.362
F2F Morgan,321,39.0,38.256
Newspoll,366,44.0,43.362
F2F Morgan,376,37.0,36.256
F2F Morgan,446,41.0,40.256
Newspoll,458,39.0,38.362
F2F Morgan,503,41.5,40.756
Newspoll,547,40.0,39.362
F2F Morgan,562,38.5,37.756
F2F Morgan,625,39.0,38.256
Newspoll,639,39.0,38.362
F2F Morgan,687,38.5,37.756
Newspoll,731,38.0,37.362
F2F Morgan,747,42.5,41.756
Advertiser,789,41.935,41.885
F2F Morgan,809,44.5,43.756
Newspoll,823,44.0,43.362
F2F Morgan,869,41.5,40.756
Newspoll,913,41.0,40.362
F2F Morgan,930,44.0,43.256
Advertiser,936,36.0,35.95
Advertiser,969,37.778,37.727
F2F Morgan,991,41.5,40.756
Newspoll,1005,42.0,41.362
F2F Morgan,1052,41.5,40.756
Advertiser,1088,39.13,39.08
Newspoll,1097,37.0,36.362
F2F Morgan,1113,39.0,38.256
Advertiser,1167,37.5,37.45
F2F Morgan,1175,41.5,40.756
Newspoll,1189,39.0,38.362
Advertiser,1223,44.565,44.515
F2F Morgan,1234,40.0,39.256
Newspoll,1278,38.0,37.362
F2F Morgan,1295,40.5,39.756
F2F Morgan,1356,39.0,38.286
Newspoll,1370,39.0,38.503
F2F Morgan,1417,38.5,37.824
Advertiser,1431,37.778,37.634
Newspoll,1438,40.0,39.626
F2F Morgan,1478,38.0,37.329
Newspoll,1482,35.0,34.626
Advertiser,1517,35.165,35.021
F2F Morgan,1523,37.0,36.329
Morgan Phone,1541,35.5,35.565
Sunday Mail,1542,34.4,34.542
Advertiser,1545,37.778,37.634
Newspoll,1546,37.0,36.626
Morgan Phone,1546,35.5,35.565
