Firm,Day,LNP FP,LNP FP adj
F2F Morgan,1,40.0,43.591
F2F Morgan,62,37.0,40.591
Newspoll,76,39.0,37.601
Advertiser,107,38.947,38.04
F2F Morgan,154,32.5,36.091
Newspoll,168,41.0,39.601
F2F Morgan,215,32.0,35.591
Newspoll,260,35.0,33.601
Advertiser,265,43.011,42.103
F2F Morgan,276,36.5,40.091
F2F Morgan,338,31.0,34.591
Advertiser,349,38.298,37.39
Newspoll,352,39.0,37.601
F2F Morgan,397,32.0,35.591
Newspoll,441,40.0,38.601
F2F Morgan,458,32.0,35.591
Advertiser,496,40.217,39.31
F2F Morgan,519,30.0,33.591
Newspoll,533,40.0,38.601
F2F Morgan,580,33.0,36.591
Advertiser,594,38.043,37.136
Newspoll,625,39.0,37.601
F2F Morgan,641,34.5,38.091
F2F Morgan,703,32.5,36.091
Newspoll,717,35.0,33.601
Advertiser,748,36.559,35.652
F2F Morgan,763,32.5,36.091
Newspoll,807,38.0,36.601
F2F Morgan,824,32.5,36.091
F2F Morgan,885,33.0,36.591
Newspoll,899,38.0,36.601
F2F Morgan,946,33.0,36.591
Newspoll,991,44.0,42.601
F2F Morgan,1007,36.0,39.591
Advertiser,1016,45.833,44.926
F2F Morgan,1069,38.5,42.091
Advertiser,1083,39.0,38.093
Newspoll,1083,41.0,39.601
Advertiser,1112,37.0,36.093
F2F Morgan,1128,38.0,41.591
Newspoll,1172,39.0,37.601
F2F Morgan,1189,33.0,36.591
F2F Morgan,1250,32.0,35.497
Newspoll,1264,40.0,38.637
F2F Morgan,1311,33.0,36.009
Advertiser,1315,34.0,33.467
Advertiser,1341,37.0,36.592
Newspoll,1356,37.0,35.765
F2F Morgan,1372,32.0,34.646
Advertiser,1376,35.0,34.668
Advertiser,1413,35.294,34.963
F2F Morgan,1417,33.0,35.646
Newspoll,1434,39.0,37.768
F2F Morgan,1448,31.5,34.146
Advertiser,1449,36.0,35.668
F2F Morgan,1462,30.5,33.146
Advertiser,1469,37.5,37.168
Advertiser,1476,31.8,31.468
Newspoll,1477,34.5,33.268
