Firm,Day,SAB FP,SAB FP adj
Galaxy,1,7.0,7.000013608945336
Galaxy,364,7.0,7.000013608945336
Galaxy,553,5.0,5.000013608945336
Galaxy,715,6.0,6.000013608945336
Dynata,830,5.0,5.0288448424284065
Dynata,1061,4.0,3.9772092880471384
