Firm,Day,GRN FP,GRN FP adj
Galaxy,1,10.0,9.104
Morgan Phone,19,7.5,7.186
ReachTEL,42,9.4,9.316
Morgan Phone,55,7.5,7.186
Morgan Phone,82,7.5,7.186
Newspoll,86,9.0,8.021
ReachTEL,85,9.2,9.116
Galaxy,95,9.0,8.104
ReachTEL,116,7.0,6.916
ReachTEL,146,7.5,7.416
Newspoll,178,8.0,7.021
ReachTEL,186,9.5,9.416
Essential,194,8.0,7.719
ReachTEL,207,8.2,8.116
ReachTEL,242,8.4,8.316
Newspoll,270,7.0,6.021
ReachTEL,277,7.9,7.816
Essential,298,10.0,9.719
ReachTEL,305,8.0,7.916
ReachTEL,333,7.7,7.616
Newspoll,359,10.0,9.021
Galaxy,366,8.0,7.104
ReachTEL,366,9.0,8.916
ReachTEL,415,5.1,5.016
Galaxy,445,7.0,6.104
Galaxy,542,8.0,7.104
Newspoll,543,8.0,7.021
Essential,543,7.0,6.719
Essential,573,5.0,4.719
Essential,604,6.0,5.719
Galaxy,629,8.0,7.104
Newspoll,635,8.0,7.021
Essential,635,8.0,7.719
Essential,663,7.0,6.719
ReachTEL,681,7.3,7.216
Essential,694,7.0,6.719
Newspoll,724,8.0,7.021
Essential,724,4.0,3.719
Galaxy,732,8.0,7.104
ReachTEL,745,5.2,5.119
Essential,756,10.0,9.71
ReachTEL,773,6.1,6.055
Essential,786,8.0,7.69
ReachTEL,792,6.1,6.079
ReachTEL,808,5.5,5.5
Galaxy,814,7.0,6.213
Newspoll,816,10.0,9.233
Essential,817,7.0,6.668
ReachTEL,836,6.0,6.036
Essential,848,10.0,9.648
SMS Morgan,860,9.0,7.831
ReachTEL,872,7.2,7.273
Essential,878,6.0,5.637
SMS Morgan,888,10.0,8.824
Newspoll,908,10.0,9.374
Galaxy,912,9.0,8.291
SMS Morgan,916,9.5,8.324
ReachTEL,921,7.9,7.973
Essential,930,10.0,9.637
ReachTEL,960,7.6,7.673
Newspoll,962,7.0,6.374
Galaxy,962,8.0,7.291
SMS Morgan,971,10.0,8.824
Essential,972,7.0,6.637
ReachTEL,974,8.4,8.473
Newspoll,982,6.0,5.374
Galaxy,982,8.0,7.291
ReachTEL,983,7.5,7.573
