Firm,Day,LNP FP,LNP FP adj
Essential,1,43.0,42.901
Morgan multi-mode,12,43.5,44.985
Essential,15,43.0,42.901
Morgan multi-mode,26,42.0,43.485
ReachTEL,30,45.4,45.352
Essential,29,44.0,43.901
Morgan multi-mode,40,43.5,44.985
Newspoll,46,47.0,47.879
Essential,43,45.0,44.901
Morgan multi-mode,54,41.5,42.985
Newspoll,60,45.0,45.879
Essential,57,44.0,43.901
Morgan multi-mode,68,41.5,42.985
ReachTEL,72,43.8,43.752
Nielsen,73,41.0,41.139
Newspoll,74,43.0,43.879
Essential,71,44.0,43.901
Morgan multi-mode,82,41.5,42.985
Essential,85,44.0,43.901
Newspoll,92,40.0,40.879
ReachTEL,96,41.4,41.352
Morgan multi-mode,92,40.5,41.985
Morgan multi-mode,120,38.0,39.485
Essential,124,45.0,44.901
ReachTEL,135,39.8,39.752
Morgan multi-mode,134,39.5,40.985
Essential,134,42.0,41.901
Morgan multi-mode,148,40.5,41.985
Newspoll,151,41.0,41.879
Essential,148,43.0,42.901
Nielsen,157,44.0,44.139
Newspoll,165,39.0,39.879
Essential,162,42.0,41.901
Morgan multi-mode,162,41.0,42.485
ReachTEL,170,40.3,40.252
Morgan multi-mode,176,39.5,40.985
Newspoll,179,41.0,41.879
Essential,176,42.0,41.901
Nielsen,185,44.0,44.139
Newspoll,193,40.0,40.879
Essential,190,44.0,43.901
Morgan multi-mode,190,38.0,39.485
Galaxy,200,43.0,43.33
Newspoll,207,43.0,43.879
Morgan multi-mode,204,38.5,39.985
Essential,204,42.0,41.901
Nielsen,213,40.0,40.139
Morgan multi-mode,218,38.5,39.985
Essential,218,41.0,40.901
Morgan multi-mode,232,37.5,38.985
Essential,232,40.0,39.901
ReachTEL,235,38.9,38.852
Newspoll,235,38.0,38.879
Galaxy,234,39.0,39.33
ReachTEL,240,37.8,37.752
Galaxy,247,38.0,38.33
Nielsen,248,35.0,35.139
Newspoll,249,36.0,36.879
Morgan multi-mode,250,35.0,36.485
Essential,246,40.0,39.901
Morgan multi-mode,260,35.0,36.485
Newspoll,262,36.0,36.879
Essential,260,38.0,37.901
Morgan Phone,267,38.5,38.539
Morgan multi-mode,271,33.0,34.485
Newspoll,277,37.0,37.879
Morgan multi-mode,278,36.5,37.985
Essential,273,38.0,37.901
Nielsen,283,39.0,39.139
Morgan multi-mode,288,35.0,36.485
ReachTEL,289,39.6,39.552
Newspoll,291,35.0,35.879
Essential,287,40.0,39.901
Morgan multi-mode,302,34.0,35.485
Newspoll,305,36.0,36.879
Essential,302,38.0,37.901
Nielsen,311,39.0,39.139
ReachTEL,314,36.0,35.952
Morgan multi-mode,316,38.0,39.485
Galaxy,318,39.0,39.33
Newspoll,319,36.0,36.879
Essential,316,41.0,40.901
Newspoll,333,40.0,40.879
Morgan multi-mode,330,37.5,38.985
Essential,330,41.0,40.901
Morgan multi-mode,344,37.5,38.985
ReachTEL,345,37.3,37.252
Newspoll,347,40.0,40.879
Essential,344,39.0,38.901
Newspoll,361,39.0,39.879
Morgan multi-mode,358,38.0,39.485
Essential,358,39.0,38.901
ReachTEL,373,41.6,41.552
Morgan multi-mode,372,38.5,39.985
Essential,372,39.0,38.901
Newspoll,375,41.0,41.879
Galaxy,390,42.0,42.33
Morgan multi-mode,390,40.0,41.485
Essential,386,40.0,39.901
Morgan multi-mode,400,39.5,40.985
Essential,400,40.0,39.901
Newspoll,403,38.0,38.879
ReachTEL,408,40.1,40.052
Ipsos,416,42.0,42.001
Morgan multi-mode,414,38.5,39.985
Essential,414,40.0,39.901
Newspoll,420,38.0,38.879
Morgan multi-mode,428,38.0,39.485
Essential,428,40.0,39.901
Newspoll,434,36.0,36.879
ReachTEL,437,40.2,40.152
Morgan multi-mode,442,39.0,40.485
Essential,442,40.0,39.901
Newspoll,446,37.0,37.879
Galaxy,449,38.0,38.33
Ipsos,451,40.0,40.001
Essential,821,40.0,40.129
Morgan multi-mode,821,35.0,36.616
Newspoll,460,38.0,38.879
Morgan multi-mode,471,37.5,38.985
Morgan multi-mode,484,38.5,39.985
Essential,491,40.0,39.901
Essential,505,38.0,37.901
Morgan multi-mode,502,37.5,38.985
ReachTEL,504,39.7,39.652
Galaxy,506,36.0,36.33
Ipsos,507,38.0,38.001
Morgan multi-mode,512,35.0,36.485
Galaxy,513,36.0,36.33
ReachTEL,513,38.4,38.352
Newspoll,515,35.0,35.879
Essential,519,39.0,38.901
Morgan multi-mode,526,37.5,38.985
Newspoll,529,38.0,38.879
Essential,533,40.0,39.901
Ipsos,535,42.0,42.001
Morgan multi-mode,540,39.0,40.485
Newspoll,544,38.0,38.879
Essential,547,40.0,39.901
Morgan multi-mode,554,38.0,39.485
Newspoll,557,41.0,41.879
Essential,561,40.0,39.901
ReachTEL,565,39.6,39.552
Morgan multi-mode,569,40.5,41.985
Essential,574,41.0,40.901
Ipsos,577,39.0,39.001
Newspoll,578,41.0,41.879
Morgan multi-mode,582,38.5,39.985
Essential,588,40.0,39.901
ReachTEL,590,39.8,39.752
Morgan multi-mode,596,40.0,41.485
Essential,602,41.0,40.901
Newspoll,601,39.0,39.879
ReachTEL,610,41.1,41.052
Galaxy,611,41.0,41.33
Ipsos,612,43.0,43.001
Newspoll,613,40.0,40.879
Morgan multi-mode,614,41.5,42.985
Essential,616,41.0,40.901
Morgan multi-mode,624,41.0,42.485
Essential,631,41.0,40.901
Newspoll,627,41.0,41.879
Morgan multi-mode,638,37.5,38.985
Ipsos,640,40.0,40.001
Essential,645,41.0,40.901
Newspoll,641,40.0,40.879
Morgan multi-mode,652,39.0,40.485
ReachTEL,653,41.9,41.852
Essential,658,41.0,40.901
Ipsos,661,39.0,39.001
Newspoll2,663,40.0,40.672
Morgan multi-mode,666,41.5,42.985
Essential,672,41.0,40.901
Newspoll2,676,40.0,40.672
Morgan multi-mode,680,39.0,40.485
Essential,686,39.0,38.901
ReachTEL,688,40.6,40.552
ReachTEL,695,40.2,40.152
Essential,698,41.0,40.901
Newspoll2,698,39.0,39.672
Morgan multi-mode,694,36.5,37.985
Ipsos,703,38.0,38.001
Newspoll2,711,38.0,38.672
Essential,714,40.0,39.901
Morgan multi-mode,708,38.5,39.985
ReachTEL,716,40.3,40.252
Newspoll2,725,39.0,39.672
Morgan multi-mode,726,36.5,37.985
Essential,729,40.0,39.901
Morgan multi-mode,733,35.0,36.485
ReachTEL,735,43.3,43.252
Galaxy,736,44.0,44.33
Newspoll2,739,44.0,44.672
Morgan multi-mode,740,46.0,47.485
Essential,739,43.0,42.901
Essential,749,44.0,43.901
Morgan multi-mode,751,47.0,48.485
Newspoll2,760,43.0,43.672
Essential,763,44.0,43.901
Ipsos,766,45.0,45.001
Morgan multi-mode,764,46.5,47.985
ReachTEL,772,46.7,46.652
Newspoll2,774,45.0,45.672
Essential,777,45.0,44.901
Morgan multi-mode,778,47.0,48.485
Newspoll2,788,46.0,46.667
Essential,791,45.0,44.949
Ipsos,794,48.0,48.003
Morgan multi-mode,792,46.0,47.513
