Firm,Day,OTH FP,OTH FP adj
Newspoll,1,8.0,8.8
Newspoll,63,9.0,9.8
Newspoll,122,10.0,10.8
Newspoll,183,10.0,10.8
Newspoll,244,9.0,9.8
Newspoll,305,12.0,12.8
Newspoll,366,13.0,13.8
Newspoll,428,15.0,15.8
Newspoll,487,17.0,17.8
Newspoll,548,16.0,16.8
Newspoll,578,15.0,15.8
Saulwick,609,21.0,18.943
Newspoll,640,17.0,17.8
Newspoll,701,14.0,14.8
Newspoll,731,20.0,20.8
F2F Morgan,776,19.0,18.191
Newspoll,793,17.0,17.8
Newspoll,852,15.0,15.8
Saulwick,875,19.0,16.943
Newspoll,876,15.0,15.8
Newspoll,892,13.0,13.8
Newspoll,908,20.0,20.8
Saulwick,897,19.6,17.543
F2F Morgan,906,20.0,19.191
F2F Morgan,988,17.0,16.191
F2F Morgan,1019,16.0,15.191
Saulwick,1058,22.0,19.943
Saulwick,1087,18.0,15.943
Newspoll,1096,20.0,20.8
Saulwick,1156,15.0,12.943
Newspoll,1158,11.0,11.8
Saulwick,1183,18.0,15.44
Newspoll,1218,15.0,16.032
Saulwick,1219,21.0,17.617
Saulwick,1247,27.0,22.977
Saulwick,1275,30.0,25.337
Newspoll,1279,17.0,18.289
Saulwick,1310,27.0,22.2
Saulwick,1338,28.0,23.2
Newspoll,1340,17.0,18.297
Saulwick,1352,25.0,20.2
Saulwick,1371,25.0,20.2
Newspoll,1383,10.0,11.297
Saulwick,1387,13.0,8.2
Newspoll,1400,8.5,9.797
Morgan Phone,1400,14.0,12.998
Saulwick,1401,12.0,7.2
