Firm,Day,GRN FP,GRN FP adj
Newspoll,1,14.0,11.788
Nielsen,17,11.0,10.652
Newspoll,61,14.0,11.788
Newspoll,122,13.0,10.788
Taverner,147,12.245,11.419
Newspoll,183,13.0,10.788
Newspoll,244,11.0,8.788
Newspoll,305,14.0,11.788
Newspoll,367,15.0,12.788
Newspoll,426,13.0,10.788
Newspoll,487,14.0,11.788
Newspoll,548,14.0,11.788
Newspoll,609,12.0,9.788
Newspoll,670,17.0,14.788
Galaxy,714,15.0,13.228
Newspoll,732,12.0,9.788
Morgan Phone,754,11.0,9.988
Newspoll,791,14.0,11.788
Newspoll,852,16.0,13.788
Morgan Phone,857,16.0,14.988
Newspoll,913,14.0,11.812
Essential,974,11.0,11.744
Newspoll,974,17.0,15.051
Morgan Phone,1017,13.5,12.824
Newspoll,1058,15.0,13.267
Galaxy,1085,15.0,13.726
Essential,1097,12.0,12.869
Newspoll,1097,17.0,15.267
Essential,1106,12.0,12.869
Nielsen,1110,13.0,12.207
Galaxy,1126,14.0,12.726
Newspoll,1133,11.0,9.267
Essential,1141,11.0,11.869
Newspoll,1147,12.0,10.267
Galaxy,1147,12.0,10.726
Nielsen,1147,13.0,12.207
