Firm,Day,GRN FP,GRN FP adj
TNS,1,4.878,5.454
Galaxy,48,12.0,10.872
F2F Morgan,63,5.5,5.852
Newspoll,228,6.0,6.38
Galaxy,251,11.0,9.872
Newspoll,320,5.0,5.38
Newspoll,332,2.0,2.38
Galaxy,356,7.0,5.872
Newspoll,412,6.0,6.38
Galaxy,468,8.0,6.872
Newspoll,504,8.0,8.38
Galaxy,516,9.0,7.872
Newspoll,594,10.0,10.38
Galaxy,629,9.0,7.872
Newspoll,686,9.0,9.389
Newspoll,778,8.0,8.424
Newspoll,856,7.0,7.425
Galaxy,880,8.0,7.838
Galaxy,882,8.0,7.838
Newspoll,887,8.0,8.425
Galaxy,895,9.0,8.838
Newspoll,902,7.4,7.825
